exp_subject_id,Trial_Nr,response,scramble,Musician,yrs_mus_exp
346822,1,Correct,2B,Yes,9
346822,2,Correct,8B,Yes,9
346822,3,Incorrect,2B,Yes,9
346822,4,Incorrect,1B,Yes,9
346822,5,Incorrect,intact,Yes,9
346822,6,Correct,intact,Yes,9
346822,7,Incorrect,1B,Yes,9
346822,8,Correct,8B,Yes,9
483528,1,Incorrect,1B,No,NA
483528,2,Incorrect,2B,No,NA
483528,3,Incorrect,8B,No,NA
483528,4,Incorrect,2B,No,NA
483528,5,Correct,intact,No,NA
483528,6,Correct,8B,No,NA
483528,7,Incorrect,intact,No,NA
483528,8,Incorrect,1B,No,NA
483514,1,Incorrect,1B,Yes,NA
483514,2,Correct,2B,Yes,NA
483514,3,Correct,2B,Yes,NA
483514,4,Incorrect,1B,Yes,NA
483514,5,Incorrect,intact,Yes,NA
483514,6,Incorrect,intact,Yes,NA
483514,7,Incorrect,8B,Yes,NA
483514,8,Incorrect,8B,Yes,NA
388196,1,Correct,1B,No,NA
388196,2,Incorrect,2B,No,NA
388196,3,Correct,2B,No,NA
388196,4,Correct,1B,No,NA
388196,5,Correct,intact,No,NA
388196,6,Correct,8B,No,NA
388196,7,Correct,intact,No,NA
388196,8,Incorrect,8B,No,NA
481855,1,Incorrect,intact,No,NA
481855,2,NA,1B,No,NA
481855,3,Incorrect,1B,No,NA
481855,4,Correct,8B,No,NA
481855,5,Correct,2B,No,NA
481855,6,Correct,8B,No,NA
481855,7,Incorrect,intact,No,NA
481855,8,Incorrect,2B,No,NA
362375,1,NA,intact,Yes,7
362375,2,Correct,8B,Yes,7
362375,3,Correct,1B,Yes,7
362375,4,Incorrect,intact,Yes,7
362375,5,Correct,1B,Yes,7
362375,6,Correct,2B,Yes,7
362375,7,Incorrect,2B,Yes,7
362375,8,Incorrect,8B,Yes,7
355524,1,Correct,1B,No,NA
355524,2,Incorrect,intact,No,NA
355524,3,Incorrect,1B,No,NA
355524,4,Incorrect,intact,No,NA
355524,5,Correct,2B,No,NA
355524,6,Incorrect,2B,No,NA
355524,7,Incorrect,8B,No,NA
