Musician,sub,scramble,16,8,5,4,3,2,1
Yes,0,Intact,0.098454562,0.029436127,-0.05231097,-0.018920128,0.008029105,0.008262932,0.006816022
Yes,0,8B,-0.046928738,-0.006162651,0.028033951,-0.025728965,-0.102299936,-0.018631783,-0.043571088
Yes,0,2B,-0.057499134,0.008413598,0.077430367,-0.003549226,0.000108697,-0.052402169,0.022031551
Yes,0,1B,-0.048166667,-0.064875,0.0113,-0.093583333,0.0968,-0.0154,0.035486486
No,0,Intact,-0.027428571,-0.037538462,-0.037684211,-0.03632,-0.034545455,-0.036816327,-0.037212121
No,0,8B,-0.043766889,-0.048975121,-0.053091068,-0.061829894,0.048498407,-0.008913912,0.024392466
No,0,2B,-0.056736929,-0.099906665,-0.010613754,-0.148843114,-0.014381841,-0.111390941,-0.05656714
No,0,1B,0.06371619,0.005348968,-0.046088038,-0.029888978,0.029318425,-0.051745587,-0.015447494
Yes,1,Intact,-0.076602273,-0.076619183,-0.045988374,-0.134872719,-0.077949824,-0.109771601,-0.078654084
Yes,1,8B,0.144445865,0.027730731,-0.091373607,0.067644269,-0.013156915,-0.0223981,-0.087294037
Yes,1,2B,-0.054262452,0.000707675,0.033586304,-0.07392814,0.184926287,0.075499816,0.094001121
Yes,1,1B,-0.056372565,-0.093070412,0.016442221,0.055617754,0.061178173,0.085688873,-0.00983895
No,1,Intact,-0.040780488,-0.050433517,-0.048469965,-0.04946109,-0.054389729,-0.053218069,-0.033809574
No,1,8B,0.121716659,0.295293512,-0.08110912,0.151270119,-0.094387118,0.100456115,0.02417481
No,1,2B,-0.053583333,-0.096714286,0.0605,-0.042611111,-0.07497721,-0.018576923,-0.093119048
No,1,1B,-0.055391304,-0.088195177,0.036472475,-0.078753832,0.002103213,-0.061690394,-0.052304298
Yes,2,Intact,-0.054375,-0.061785714,-0.06635,-0.065192308,-0.067617647,-0.06974,-0.05183
Yes,2,8B,-0.0424,-0.067665957,0.154222222,-0.080834372,0.062700372,-0.037473684,0.012497699
Yes,2,2B,-0.053490755,0.033389246,0.180753395,0.043528989,0.057363892,0.133498878,0.022077262
Yes,2,1B,-0.051062773,-0.075635271,0.008449497,-0.025902108,-0.112071476,-0.026871194,-0.007104354
No,2,Intact,-0.096166226,0.051798172,-0.047524216,0.023224305,0.069650883,0.046173097,0.008195764
No,2,8B,0.201647055,0.196059261,0.063890961,0.084019006,0.049580643,0.027123921,0.004203451
No,2,2B,0.028659091,0.094066445,-0.011134295,0.114016376,-0.037783107,-0.002911893,-0.084112639
No,2,1B,0.034693669,-0.023384584,-0.127046092,-0.088850708,-0.06859959,-0.085676125,-0.015279548
Yes,3,Intact,0.441818532,0.222611906,-0.013698883,0.088719335,0.022671443,0.009060223,0.019179805
Yes,3,8B,0.353782434,0.321240356,-0.057574156,0.194091948,0.040710119,0.091271347,0.047714047
Yes,3,2B,-0.04414966,-0.063100775,0.119250777,-0.08211971,-0.008785962,-0.046196551,0.045016324
Yes,3,1B,-0.044880155,-0.068511274,0.036263054,-0.00462,-0.02373805,0.000559203,-0.005497714
No,3,Intact,0.186295098,0.065553496,-0.078816231,-0.009278266,-0.083273568,-0.04395398,-0.057878782
No,3,8B,0.154601227,0.235504485,0.044664286,0.117511569,0.164403902,0.137438948,0.059807617
No,3,2B,-0.043741753,-0.055454432,0.059656978,0.026628405,-0.074509957,0.028239444,-0.025096258
No,3,1B,0.1588,0.078428571,0.039333333,0.011545455,-0.0125,0.118157895,0.008583333
Yes,4,Intact,-0.047445592,-0.048898505,-0.053434349,-0.051025609,-0.051369444,-0.013976626,-0.023553311
Yes,4,8B,-0.020666667,-0.033395018,-0.031571429,-0.034266764,-0.033801545,0.022941176,0.024203374
Yes,4,2B,-0.049141777,0.041856402,0.038634889,0.097369862,-0.026696582,-0.002361657,-0.028961698
Yes,4,1B,-0.040812121,0.113082504,0.04076999,0.130255562,-0.002816238,0.032940828,0.028482624
No,4,Intact,-0.064956598,-0.14327026,0.018795091,-0.075959994,0.109442659,0.067378061,0.114280534
No,4,8B,-0.056903676,-0.108665076,-0.074287083,-0.064635108,-0.09000038,-0.077699559,0.010717953
No,4,2B,-0.056150341,-0.090520937,-0.072072649,0.065287185,0.035483691,-0.010474605,0.013175792
No,4,1B,0.023866915,-0.027970022,0.052920892,0.052946356,0.042332666,0.083485024,0.020556081
Yes,5,Intact,-0.0862,-0.10725,0.067090909,-0.126428571,0.148555556,0.023192308,0.036372549
Yes,5,8B,-0.027,-0.050333333,-0.059,-0.0606,-0.064333333,0.042222222,-0.009764706
Yes,5,2B,-0.05238973,-0.001152923,-0.007469799,-0.049629681,0.053526144,-0.01660106,-0.043019569
Yes,5,1B,-0.050252281,-0.076988267,-0.094450272,-0.025002291,-0.11134594,0.020315453,-0.007401534
No,5,Intact,0.024670195,-0.023000801,-0.095688745,-0.056038636,-0.043468454,-0.06284462,-0.045625991
No,5,8B,0.155092044,0.183538693,-0.082155282,0.077887415,0.04790511,0.04866491,-0.003273632
No,5,2B,-0.047673665,-0.072888965,0.097851421,-0.02603455,-0.046846517,-0.080025622,0.023510418
No,5,1B,-0.037493333,0.093224503,0.081922433,0.027208031,0.028122975,0.102910994,0.046896017
Yes,6,Intact,0.303862071,0.139097632,0.016701665,0.032171624,-0.02739136,-0.005356184,0.002542597
