,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,61.666668,3,0,0,0,0,1
1,70,1,8.333332062,-2,0,0,0
2,51.6,5,-18.40000153,4,0,0,0
3,53.333332,3,1.733333588,-2,0,0,0
4,60,4,6.666667938,1,0,1,1
5,57,2,-3,-2,0,0,0
6,71.6,5,14.59999847,3,1,0,1
7,70.25,4,-1.349998474,-1,0,5,4
8,57.5,4,-12.75,0,0,0,2
9,67,2,9.5,-2,0,1,0
10,62.75,4,-4.25,2,0,1,1
11,69,1,6.25,-3,0,1,0
12,62.666668,3,-6.333332062,2,0,1,2
13,77,1,14.33333206,-2,0,3,2
14,58.75,4,-18.25,3,0,1,0
15,56.875,8,-1.875,4,0,1,0
16,62.5,2,5.625,-6,0,1,0
17,55,2,-7.5,0,0,3,1
18,62.666668,3,7.666667938,1,0,1,2
19,69,1,6.333332062,-2,0,0,1
20,68.6,5,-0.400001526,4,0,0,1
21,69,4,0.400001526,-1,0,2,0
22,62.666668,3,-6.333332062,-1,0,3,1
23,69,1,6.333332062,-2,0,1,4
24,54.4,5,-14.59999847,4,0,0,1
25,55.666668,3,1.266666412,-2,0,0,0
26,62.666668,3,7,0,0,1,0
27,77,1,14.33333206,-2,0,0,1
28,67.75,4,-9.25,3,0,2,0
29,74,1,6.25,-3,0,1,3
30,64.666664,3,-9.333335876,2,0,0,0
31,60,2,-4.666664124,-1,0,0,2
32,58.25,4,-1.75,2,1,0,1
33,67,2,8.75,-2,0,1,0
34,56,5,-11,3,0,3,1
35,57,3,1,-2,0,2,2
36,56.5,4,-0.5,1,0,0,1
37,56.5,0,0,-4,0,1,2
38,60.75,8,4.25,8,0,0,2
39,58,8,-2.75,0,0,3,3
40,67.2,5,9.199996948,-3,0,0,1
41,68.75,4,1.550003052,-1,0,0,0
42,59.333332,3,-9.416667938,-1,0,1,0
43,62,2,2.666667938,-1,0,4,3
44,67.75,4,5.75,2,0,0,1
45,74,1,6.25,-3,0,1,1
46,55.2,5,-18.79999924,4,0,0,1
47,56.333332,3,1.133331299,-2,0,0,1
48,67,2,10.66666794,-1,0,0,0
49,56.5,2,-10.5,0,0,1,3
50,56.125,8,-0.375,6,1,1,0
51,56.25,4,0.125,-4,0,0,0
52,58,2,1.75,-2,0,0,0
53,70.5,2,12.5,0,0,2,4
54,65.875,8,-4.625,6,0,2,0
55,68.5,4,2.625,-4,0,0,1
56,64.6,5,-3.900001526,1,0,1,1
57,69,2,4.400001526,-3,0,2,1
58,56.333332,3,-12.66666794,1,0,0,0
59,60,2,3.666667938,-1,0,0,1
60,57.5,4,-2.5,2,0,0,0
61,67,2,9.5,-2,0,0,0
62,53.5,4,-13.5,2,0,0,0
63,60,2,6.5,-2,0,0,0
