,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
176,55,3,0,0,0,1,1
177,54,2,-1,-1,0,2,0
178,54,0,0,-2,0,0,0
179,62,1,8,1,0,0,2
180,68,2,6,1,0,1,2
181,66.5,2,-1.5,0,0,1,3
182,71.666664,3,5.166664124,1,0,3,2
183,68,2,-3.666664124,-1,0,0,1
184,68,0,0,-2,0,1,0
185,64,1,-4,1,0,0,2
186,65.5,4,1.5,3,0,1,1
187,68,4,2.5,0,0,2,2
188,56.75,4,-11.25,0,0,5,3
189,49,2,-7.75,-2,0,0,1
190,54,3,5,1,0,2,1
191,60.25,4,6.25,1,0,0,1
192,60.5,4,0.25,0,0,1,1
193,56.8,5,-3.700000763,1,0,0,0
194,58.5,4,1.700000763,-1,1,2,0
195,59.8,5,1.299999237,1,0,0,3
196,68,2,8.200000763,-3,0,2,2
197,66.5,2,-1.5,0,0,1,1
198,71.666664,3,5.166664124,1,0,2,1
199,68,2,-3.666664124,-1,0,0,1
200,62.25,4,-5.75,2,0,1,2
201,62.333332,3,0.083332062,-1,0,2,0
202,62.25,4,-0.083332062,1,0,1,3
203,62.333332,3,0.083332062,-1,0,0,3
204,72.25,4,9.916667938,1,0,1,0
205,67.666664,3,-4.583335876,-1,0,1,0
206,63,3,-4.666664124,0,1,1,2
207,60.5,2,-2.5,-1,0,0,3
208,70.25,4,9.75,2,0,0,0
209,75,2,4.75,-2,0,0,1
210,68.333336,3,-6.666664124,1,0,2,1
211,70,2,1.666664124,-1,0,0,0
212,60.57143,7,-9.428569794,5,0,1,2
213,55.5,4,-5.071430206,-3,0,0,1
214,58.2,5,2.700000763,1,0,1,1
215,57,6,-1.200000763,1,0,4,5
216,67.666664,3,10.66666412,-3,0,2,1
217,58,2,-9.666664124,-1,0,0,0
218,65.5,4,7.5,2,0,2,5
219,68,4,2.5,0,0,2,0
220,62,3,-6,-1,0,1,1
221,62,0,0,-3,0,2,1
222,58.666668,3,-3.333332062,3,1,2,0
223,66.75,4,8.083332062,1,0,0,1
224,63.333332,3,-3.416667938,-1,0,0,2
225,60.666668,3,-2.666664124,0,0,2,3
226,58.5,4,-2.166667938,1,0,6,0
227,60.5,4,2,0,0,1,1
228,62,5,1.5,1,1,0,2
229,66.25,4,4.25,-1,0,2,1
230,66.5,2,0.25,-2,0,0,0
231,64.5,2,-2,0,0,0,1
232,58,3,-6.5,1,0,1,1
233,65.333336,3,7.333335876,0,0,0,1
234,60.333332,3,-5.000003815,0,0,1,1
235,67,3,6.666667938,0,0,1,1
236,63,3,-4,0,0,0,1
237,61,4,-2,1,0,0,1
238,65.25,4,4.25,0,0,0,3
239,61,4,-4.25,0,0,2,0
