,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
176,58.5,4,0,0,,
177,60.75,4,2.25,0,,
178,60,4,-0.75,0,,
180,65.5,4,5.5,0,,
181,68,4,2.5,0,,
182,68,2,0,-2,,
183,66.5,2,-1.5,0,,
184,71.666664,3,5.166664124,1,,
185,68,2,-3.666664124,-1,,
186,68,2,0,0,,
187,66.5,2,-1.5,0,,
188,71.666664,3,5.166664124,1,,
189,68,2,-3.666664124,-1,,
190,72.25,4,4.25,2,,
191,67.666664,3,-4.583335876,-1,,
192,60.75,4,-6.916664124,1,,
193,60.25,4,-0.5,0,,
194,56.5,4,-3.75,0,,
195,56.5,0,0,-4,1,
196,62,5,5.5,5,,1
197,66.25,4,4.25,-1,,
198,66.5,2,0.25,-2,,
199,64.5,2,-2,0,,
200,70,3,5.5,1,,
201,69.333336,3,-0.666664124,0,,
202,66.5,2,-2.833335876,-1,,
203,64.5,2,-2,0,,
204,70,3,5.5,1,,
205,69.333336,3,-0.666664124,0,,
206,70.75,4,1.416664124,1,,
207,66,3,-4.75,-1,,
208,62.666668,3,-3.333332062,0,,
209,58.25,4,-4.416667938,1,,
210,54.75,4,-3.5,0,,
211,54.75,0,0,-4,1,
212,61.333332,3,6.583332062,3,,1
213,62.333332,3,1,0,,
214,62.25,4,-0.083332062,1,,
215,62.333332,3,0.083332062,-1,,
216,62.25,4,-0.083332062,1,,
217,62.333332,3,0.083332062,-1,,
218,58.666668,3,-3.666664124,0,,
219,58.333332,3,-0.333335876,0,,
220,64.25,4,5.916667938,1,,
221,63.666668,3,-0.583332062,-1,,
222,63.333332,3,-0.333335876,0,,
223,60.666668,3,-2.666664124,0,1,
224,56.666668,3,-4,0,,1
225,65,4,8.333332062,1,,
226,56.333332,3,-8.666667938,-1,,
227,64,3,7.666667938,0,,
228,58.333332,3,-5.666667938,0,,
229,65.333336,3,7.000003815,0,,
230,58.666668,3,-6.666667938,0,,
231,65,3,6.333332062,0,,
232,62.5,4,-2.5,1,,
233,70.5,2,8,-2,,
234,68.6,5,-1.900001526,3,,
235,73,2,4.400001526,-3,,
236,66.666664,3,-6.333335876,1,,
237,68,2,1.333335876,-1,,
238,65.666664,3,-2.333335876,1,,
239,56,2,-9.666664124,-1,,
