,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,68.5,8,0,0,,
1,68.75,4,0.25,-4,,
2,68.5,8,-0.25,4,,
3,68.75,4,0.25,-4,,
4,68.875,8,0.125,4,,
5,66.25,8,-2.625,0,,
6,68.875,8,2.625,0,,
7,66.25,8,-2.625,0,,
8,64,8,-2.25,0,,
9,63.5,4,-0.5,-4,,
10,64,8,0.5,4,,
11,63.5,4,-0.5,-4,,
12,60.75,8,-2.75,4,,
13,58,8,-2.75,0,,
14,60.75,8,2.75,0,,
15,58,8,-2.75,0,1,
16,73.666664,3,15.66666412,-5,,1
17,58,1,-15.66666412,-2,,
18,68.5,2,10.5,1,,
19,57,1,-11.5,-1,,
20,73.666664,3,16.66666412,2,,
21,55,1,-18.66666412,-2,,
22,68.5,2,13.5,1,,
23,55,2,-13.5,0,,
24,63.5,2,8.5,0,,
25,54.5,2,-9,0,,
26,62.5,2,8,0,,
27,55,2,-7.5,0,,
28,66.5,2,11.5,0,,
29,56.5,2,-10,0,,
30,67,2,10.5,0,,
31,56.5,2,-10.5,0,1,
32,50.666668,3,-5.833332062,1,,1
33,57,2,6.333332062,-1,,
34,53,3,-4,1,,
35,58.5,2,5.5,-1,,
36,50.666668,3,-7.833332062,1,,
37,52,3,1.333332062,0,,
38,50.666668,3,-1.333332062,0,,
39,50.666668,0,0,-3,,
40,54.75,4,4.083332062,4,,
41,58.75,4,4,0,,
42,56.5,4,-2.25,0,,
43,55,8,-1.5,4,,
44,59,4,4,-4,,
45,58.5,4,-0.5,0,,
46,58.666668,3,0.166667938,-1,,
47,58.666668,0,0,-3,1,
48,62.75,4,4.083332062,4,,1
49,69,1,6.25,-3,,
50,64.6,5,-4.400001526,4,,
51,69,2,4.400001526,-3,,
52,62.75,4,-6.25,2,,
53,69,1,6.25,-3,,
54,64.6,5,-4.400001526,4,,
55,69,2,4.400001526,-3,,
56,62.75,4,-6.25,2,,
57,67.666664,3,4.916664124,-1,,
58,66.75,4,-0.916664124,1,,
59,69.333336,3,2.583335876,-1,,
60,68.6,5,-0.733337402,2,,
61,70,2,1.400001526,-3,,
62,64.666664,3,-5.333335876,1,,
63,60,2,-4.666664124,-1,,
