,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,60.75,8,0,0,,
1,60.75,8,0,0,,
2,58.75,4,-2,-4,,
3,60.333332,3,1.583332062,-1,,
4,62.25,8,1.916667938,5,,
5,62.25,8,0,0,,
6,62.25,4,0,-4,,
7,60.75,4,-1.5,0,,
8,62.25,4,1.5,0,,
9,62.25,0,,,,
10,64.5,8,2.25,4,,
11,64.5,8,0,0,,
12,62.25,4,-2.25,-4,,
13,60.75,4,-1.5,0,,
14,58.75,4,-2,0,,
15,58.75,0,0,-4,1,
16,60.75,4,2,4,,1
17,61.5,8,0.75,4,,
18,61.5,4,0,-4,,
19,60.25,4,-1.25,0,,
20,59.5,4,-0.75,0,,
21,58.75,4,-0.75,0,,
22,60.75,4,2,0,,
23,60.75,0,0,-4,,
24,60.75,8,0,8,,
25,60.75,8,0,0,,
26,58.75,4,-2,-4,,
27,60.333332,3,1.583332062,-1,,
28,62.25,8,1.916667938,5,,
29,62.25,8,0,0,,
30,62.25,4,0,-4,,
31,60.75,4,-1.5,0,1,
32,62.25,4,1.5,0,,1
33,62.25,0,0,-4,,
34,64.5,8,2.25,8,,
35,64.5,8,0,0,,
36,62.25,4,-2.25,-4,,
37,60.5,4,-1.75,0,,
38,58.75,4,-1.75,0,,
39,58.75,0,0,-4,,
40,60.75,4,2,4,,
41,61.5,8,0.75,4,,
42,61.5,4,0,-4,,
43,60.25,4,-1.25,0,,
44,59.5,4,-0.75,0,,
45,58.75,4,-0.75,0,,
46,60.75,4,2,0,,
47,60.75,0,0,-4,1,
48,60.75,4,0,4,,1
49,60.75,8,0,4,,
50,59,4,-1.75,-4,,
51,59,0,0,-4,,
52,58.75,4,-0.25,4,,
53,58.75,0,0,-4,,
54,62.5,4,3.75,4,,
55,62.5,0,0,-4,,
56,60.75,4,-1.75,4,,
57,60.75,8,0,4,,
58,59,4,-1.75,-4,,
59,59,0,0,-4,,
60,58.75,4,-0.25,4,,
61,58.75,0,0,-4,,
62,60.75,4,2,4,,
