Musician,sub,scramble,16,8,5,4,3,2,1
Yes,0,Intact,0.09603344039297183,0.027512316305108465,-0.04924737713970183,-0.01640762596459373,0.007151356993736955,0.00870722366664324,0.006110766600170989
Yes,1,Intact,-0.40617368421052846,-0.0646909177365668,-0.0393283851643027,-0.13251202716597218,-0.0722176336269794,-0.11382113365857366,-0.08039473684210521
Yes,2,Intact,-0.056374999999999995,-0.06271428571428571,-0.06595000000000001,-0.06865384615384616,-0.06947058823529412,-0.07155999999999998,-0.05168999999999999
Yes,3,Intact,0.44278108470272937,0.22426496985317806,-0.018201207655306532,0.08897981624747421,0.026100347739692005,0.011981184283342555,0.017780104606617688
Yes,4,Intact,-0.047816006600660065,-0.04925514128072229,-0.052041027953110906,-0.05099929471720435,-0.05157505197505197,-0.012409206295481472,-0.022990102203066087
Yes,5,Intact,-0.08419999999999998,-0.11012500000000001,0.06627272727272727,-0.11964285714285713,0.1495,0.022961538461538443,0.03845098039215688
Yes,6,Intact,0.3019087732638135,0.13928527465763965,0.023383355916892484,0.03334917000572409,-0.025654804270462635,-0.0075755573905863,0.0022080394922426062
Yes,7,Intact,-0.09388345960670809,-0.11317419070689276,-0.11670548801486998,-0.04914375561545372,-0.04523593751119197,-0.03731501130631413,-0.0330096218539417
Yes,8,Intact,0.2536048901871686,0.0987698380971417,-0.013770401106500761,-0.03578578668509559,0.029686402081977873,0.015856793585733338,0.02089350947243226
Yes,9,Intact,0.12914643254409663,0.027050808314087755,-0.034653067780276256,-0.024851110416015024,-0.09777809101892872,0.0543007299640087,0.014478571132224217
Yes,10,Intact,0.0760372049825175,0.1032972156641062,-0.06076774079943653,-0.01842510038395029,0.019432556526237824,-0.023901171754548253,-0.008650880238036217
Yes,11,Intact,0.073875,0.009571428571428574,-0.016799999999999995,-0.02800000000000001,-0.06744117647058824,-0.030320000000000014,-0.011659999999999997
Yes,12,Intact,-0.04609486166007905,-0.05075792507204611,0.05283542039355992,0.02571270883054893,0.008443479129219097,0.02911404485446158,0.02542561263972486
Yes,13,Intact,0.1834516568315933,0.26393865802011646,0.030272097625329824,0.10550800681431005,-0.037027432024169186,0.05379878384833009,-0.0037197758206565235
Yes,14,Intact,0.07200000000000001,0.07635714285714285,0.036,0.045923076923076914,-0.014529411764705876,-0.009620000000000005,0.017539999999999986
Yes,15,Intact,-0.03280580511402902,-0.03164726477024069,-0.034337793272401766,0.0037331751144261726,-0.0038938821149033685,-0.01636730123180291,-0.00539342777858916
Yes,16,Intact,-0.07207244785949507,-0.09230622009569378,0.04409326424870467,-0.1328127458693942,0.02656101099073442,-0.030023680930619034,-0.0006655099026995736
Yes,17,Intact,0.031380370125578316,-0.02514982088024565,-0.08793435680254104,-0.059412011807447776,-0.04286243900883375,-0.004259065733096464,0.044484607414868794
Yes,18,Intact,-0.0455,-0.06357142857142856,0.1318,-0.0626923076923077,0.049411764705882356,-0.03128,-0.013040000000000003
Yes,19,Intact,0.10141025641025642,0.10223575456053068,-0.16568593568102447,0.06517931556632346,-0.04609969726565748,0.00628208747871293,0.001934109592419953
Yes,20,Intact,0.12663505154639174,0.02860000000000001,-0.090896509491733,0.005645316253002407,-0.10448266795820936,-0.05851018099547512,-0.06144211477682906
Yes,21,Intact,-0.07510263720598717,0.029472277227722787,0.011599107889601338,-0.010887852542749368,-0.13098433123492054,-0.02705563317667979,-0.006818596362492786
Yes,22,Intact,0.0556847181008902,-0.038414183366213266,-0.0046023329798515695,0.046277750062359714,-0.0181517016910776,0.055789339248893725,0.015193440354776511
Yes,23,Intact,-0.10493641671950962,-0.13120822287208359,0.06516728739913098,-0.051245512497903024,-0.06364838793455274,-0.024655026256021503,-0.038528004483880884
Yes,24,Intact,-0.0807136294027565,-0.039143906020557985,0.20514229740242493,-0.04131627906976744,0.15081248857766708,0.024634068599796922,0.04027006265043327
Yes,25,Intact,0.15230917205293934,0.025413634226610235,0.03496644801327,0.039791979010494735,-0.0010026221229484386,-0.031818092234923136,0.05482853379019718
Yes,26,Intact,-0.03991747936984246,-0.0522077922077922,-0.04800677233429396,-0.05484451070485875,-0.02073649428207627,0.0069300395256916975,0.003922326479131645
Yes,27,Intact,-0.054584484924623124,-0.058255463673951575,-0.06328694378318987,-0.06875619276384927,-0.009206472318801813,0.008971550334024426,0.04802893511639426
Yes,28,Intact,-0.11268036192410674,-0.04860907355305467,-0.12868481630580345,-0.04699611734253667,0.041691383136094676,-0.03326748496397307,-0.020601134392774275
Yes,29,Intact,-0.09033222907272782,-0.06540066343912497,0.1429456328525835,-0.05052440387481371,0.015568257491675914,-0.020822161396376618,-0.011592021169214947
Yes,30,Intact,-0.06132743362831859,0.07136330935251799,-0.07946641241223888,0.07268959723820483,0.08726770519701554,0.0477566173171826,0.0016078986596478606
Yes,31,Intact,-0.03371428571428572,-0.03830769230769231,-0.035789473684210524,-0.03736,-0.03842424242424242,0.044367346938775504,0.023010101010101015
Yes,32,Intact,-0.09490299266361589,-0.12569107315057168,-0.0111328596802842,-0.14554061467553125,0.036021308473447665,0.010043850658857979,0.002623723869713218
Yes,33,Intact,-0.003555555555555559,-0.007102040816326538,0.13509433962264147,0.12189473684210522,0.13428571428571429,0.3007123287671232,0.4237757009345794
Yes,34,Intact,0.6087777777777778,0.39733333333333337,0.017714285714285714,0.2544444444444445,0.0033317373660701304,0.12974509803921572,0.05953323930693287
Yes,35,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,36,Intact,-0.08879999999999999,-0.11524999999999998,-0.11363636363636366,-0.04657142857142857,-0.07316666666666667,-0.09526923076923079,-0.07984313725490197
Yes,37,Intact,0.32406168748406833,0.2033168378912844,-0.09048266576910131,0.054960642744693554,-0.03968348195378358,-0.024596640537514012,-0.03861572064863536
Yes,38,Intact,-0.3763636363636374,0.020676816710797272,-0.1667008381550551,-0.0796825332327161,-0.16700168682600852,-0.10696871297518702,-0.127314270850008
Yes,39,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,40,Intact,0.06309963099630995,0.0071632183908045925,-0.06543534265277653,0.12840096936771392,0.0727743908088576,0.07160153913577,0.0476110639313213
Yes,41,Intact,-0.04625410374261325,0.031030232841643295,0.20550973210978973,-0.011372360293061335,-0.06302241297091081,-0.030504067543203905,0.03555727215404885
Yes,42,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,43,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,44,Intact,-0.0607423935091278,-0.0819204334365325,0.1603448275862069,-0.08876790009250693,-0.019973375097885673,-0.09736124663945037,-0.01609141453764026
Yes,45,Intact,0.11357142857142857,0.046538461538461535,-0.03594736842105264,0.003120000000000003,-0.03439393939393939,-0.014571428571428575,-0.0059090909090909185
Yes,46,Intact,-0.07970496894409938,-0.166111111111111,0.06353932584269636,0.029215053763440822,-0.013561295345306132,0.06027996926676795,0.009259906322011823
Yes,47,Intact,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yes,48,Intact,0.15315438541828946,0.06165189492680971,0.0011783023606227823,0.09267181371022974,-0.0190343084145901,0.02098339920948617,0.042906883686764236
Yes,0,8B,-0.04901616541353383,0.01034451950315973,0.015828506698187552,-0.025629496402877698,-0.10053266789836121,-0.025697585768742048,-0.04205882535845018
Yes,1,8B,0.1506398858075041,0.031246823379923766,-0.08543758967001436,0.10952380952380945,-0.021804870605468773,-0.0230365274203128,-0.08623747191804855
Yes,2,8B,-0.043399999999999994,-0.06505066404328577,0.14555555555555552,-0.08092534676208146,0.06675103995966217,-0.037736842105263166,0.013155941943096619
Yes,3,8B,0.3610797013942255,0.3255779016234553,-0.05729267418950385,0.18922381878157996,0.02937442502299908,0.0865257199933411,0.0460762236018146
Yes,4,8B,-0.018,-0.03159172154280339,-0.03742857142857143,-0.030565503395839563,-0.03022515067444753,0.022529411764705885,0.023295168526224427
Yes,5,8B,-0.032,-0.04966666666666667,-0.05175,-0.05719999999999999,-0.05766666666666665,0.046222222222222234,-0.009588235294117647
Yes,6,8B,0.09356982619240098,0.025385348631950584,-0.07987538774718884,-0.00872909698996657,-0.09518442384716266,-0.056633374604484796,-0.03368095139455821
Yes,7,8B,-0.043698630136986306,0.042371540047114256,-0.07640737148399612,0.003147461673787378,-0.005523468575974542,-0.04126233766233765,-0.014568514412416847
Yes,8,8B,0.20523604694386913,0.19404684178439843,-0.03233056668574699,0.08343392498219421,-0.009631386040357263,0.06896103836801791,-0.0474514594611103
Yes,9,8B,-0.03777257889009793,-0.05852356175142352,-0.06438090109495602,0.009612676056338032,-0.07425799984798387,-0.02732869318181818,-0.025995551900901154
Yes,10,8B,0.354,0.4651109443337388,-0.06833333333333333,0.26567703564462497,-0.08583040603651947,0.1721578947368421,0.07051795698555895
Yes,11,8B,-0.030416438356164383,-0.04973851590106007,0.08513687359760658,-0.058575175943698016,0.036387197501951574,0.047587044218306736,-0.010933069011377508
Yes,12,8B,-0.03725,0.2605932621199671,-0.05024999999999999,0.13395331216625775,-0.058780755163958275,0.04711111111111112,-0.011469055257181988
Yes,13,8B,-0.06893701083684527,0.09080076962326729,0.03598583234946871,-0.0022451091045899265,-0.029932410685548756,-0.05654792945787066,-0.017380432902736574
Yes,14,8B,0.015594339622641501,0.17504984571564206,-0.11656286919831223,0.047949328713728895,-0.05827589456223256,0.05007225433526015,-0.030044117487237693
Yes,15,8B,0.46495670036519104,0.8823517959352556,0.0263691703485518,0.4672291114949146,0.1308110678899083,0.28727792668406255,0.08621381451019455
Yes,16,8B,-0.0747807486631016,-0.09748888635586458,-0.10350833132093697,-0.11455910987482613,-0.12141469528434903,-0.12993414985819088,-0.10469504392013618
Yes,17,8B,0.1282346688470973,0.024065550906555083,-0.09397684993799091,0.10153092890503372,-0.04307340529627269,0.05243245458066916,-0.015056557368335511
Yes,18,8B,-0.041576560659599526,-0.04783717774762551,0.09487833252544835,-0.05347097722263041,-0.04785579835918886,-0.054104380338770346,0.0073949539781359005
Yes,19,8B,0.05887500000000002,0.3229166666666667,-0.11,0.13820000000000002,-0.041014698115580145,0.03868644740819686,-0.019762522034940035
Yes,20,8B,-0.029200000000000004,0.1902222222222222,-0.036461538461538455,0.08270588235294117,-0.03769651855356803,0.02773584905660377,-0.005300027098802237
Yes,21,8B,0.36328571428571427,0.6541818181818182,-0.09146666666666667,0.3258421052631579,-0.01063859960400114,0.19594555954783352,0.0453397620694957
Yes,22,8B,-0.0784,-0.12485714285714285,-0.1362222222222222,-0.15509090909090908,0.1371111111111111,-0.07308108108108108,0.03918840579710144
Yes,23,8B,0.18197620137299775,0.24713377977322887,0.038633127225032794,0.09562503807493147,0.0426372490080558,0.05346184610762703,0.022335325156375593
Yes,24,8B,0.05910057773109244,0.5262061547691448,-0.09999878593628594,0.25729697928752776,-0.02424370734487426,0.11224770901319177,0.02794381877380855
Yes,25,8B,-0.05532355046528275,-0.07238530205522109,-0.07548320413436693,-0.07937807715860379,-0.08195015090372683,-0.08411874136812153,-0.028195197521301306
Yes,26,8B,-0.032,-0.03666666666666666,-0.03461538461538461,-0.03458823529411765,-0.034956521739130435,-0.03727272727272728,-0.006328358208955215
Yes,27,8B,-0.07082857142857142,-0.09161073825503356,-0.09515422885572139,0.048969758473716256,-0.0276987766561936,0.001755939873929208,-0.0015432052965013124
Yes,28,8B,-0.09462547947441444,0.011024716395208814,0.06846306169078445,0.008260226191734504,0.11037647553946098,0.1585845781129429,0.06353616410541542
Yes,29,8B,-0.07325000000000001,0.07083333333333335,0.020874999999999994,-0.020000000000000018,0.030769230769230778,-0.0698888888888889,-0.020885714285714282
Yes,30,8B,0.22714285714285715,0.737909090909091,-0.08613333333333333,0.3803157894736842,0.06705889092575619,0.18745130053783976,0.04520159225192146
Yes,31,8B,-0.0224,-0.029222222222222226,-0.03461538461538461,-0.037000000000000005,0.05292828706808887,-0.03412714955706097,-0.0056679307625877706
Yes,32,8B,-0.09280000000000001,-0.11885714285714286,-0.1402222222222222,-0.14745454545454548,-0.16642857142857145,-0.17357894736842105,-0.18794444444444444
