,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,58.5,4,0,0,0,0,0
1,58.75,4,0.25,0,0,0,0
2,62.333332,6,3.583332062,2,0,0,0
3,63.6,5,1.266666412,-1,0,0,0
4,52.75,4,-10.84999847,-1,0,0,1
5,54,7,1.25,3,0,0,0
6,63.25,4,9.25,-3,1,0,0
7,63.25,4,0,0,0,0,0
8,60.75,4,-2.5,0,0,1,0
9,61.5,8,0.75,4,0,0,0
10,58.75,4,-2.75,-4,0,0,0
11,60.333332,3,1.583332062,-1,0,0,0
12,69.4,5,9.066669464,2,0,0,2
13,71.166664,6,1.766662598,1,0,0,2
14,69.4,5,-1.766662598,-1,0,0,1
15,69.8,5,0.400001526,0,0,0,0
16,58.666668,3,-11.13333511,-2,0,0,0
17,63,2,4.333332062,-1,0,1,0
18,69.4,5,6.400001526,3,0,0,0
19,71.166664,6,1.766662598,1,0,0,3
20,62.5,4,-8.666664124,-2,0,0,0
21,62.5,0,0,-4,0,0,0
22,69.8,5,7.300003052,5,0,1,0
23,68.25,4,-1.550003052,-1,0,0,1
24,59.375,8,-8.875,4,0,0,0
25,60,7,0.625,-1,0,0,1
26,62.333332,6,2.333332062,-1,0,0,0
27,63.6,5,1.266666412,-1,0,0,1
28,60.75,4,-2.849998474,-1,0,0,0
29,60.75,8,0,4,0,0,0
30,59.375,8,-1.375,0,0,0,1
31,60.285713,7,0.910713196,-1,0,0,0
32,66.166664,6,5.880950928,-1,0,0,0
33,71,1,4.833335876,-5,0,0,1
34,62.25,4,-8.75,3,0,0,1
35,62.25,0,0,-4,0,0,2
36,53.5,4,-8.75,4,0,0,0
37,54.857143,7,1.357143402,3,0,1,3
38,62.25,4,7.392856598,-3,0,1,0
39,62.25,0,0,-4,0,0,1
40,59,4,-3.25,4,0,1,1
41,59,0,0,-4,0,0,0
42,62.25,4,3.25,4,0,0,1
43,60.75,4,-1.5,0,0,0,2
44,58.75,4,-2,0,0,0,0
45,58.75,0,0,-4,0,0,0
46,59.375,8,0.625,8,0,1,0
47,60.285713,7,0.910713196,-1,0,1,1
48,61.666668,6,1.380954742,-1,0,0,1
49,53.8,5,-7.866668701,-1,0,0,1
50,56.75,4,2.950000763,-1,1,0,2
51,54.4,5,-2.349998474,1,0,0,0
52,60.2,10,5.799999237,5,0,0,1
53,62.2,10,2,0,0,0,0
54,57.75,8,-4.450000763,-2,0,0,0
55,59.142857,7,1.392856598,-1,0,0,1
56,58.75,4,-0.392856598,-3,0,0,0
57,58.75,0,0,-4,0,0,2
58,62.25,4,3.5,4,0,0,0
59,60.75,4,-1.5,0,0,1,1
60,64.5,8,3.75,4,1,0,0
61,64.5,8,0,0,0,0,3
62,59,4,-5.5,-4,0,1,1
63,59,0,0,-4,0,0,0
