,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,60,4,0,0,0,0,0
1,60,0,0,-4,0,0,0
2,56.8,5,-3.200000763,5,1,0,1
3,58.333332,6,1.533332825,1,0,0,0
4,58.333332,3,0,-3,0,1,1
5,52.666668,3,-5.666664124,0,0,2,2
6,60,5,7.333332062,2,0,0,1
7,58.5,4,-1.5,-1,0,3,0
8,59.166668,6,0.666667938,2,0,0,1
9,52.5,4,-6.666667938,-2,0,1,1
10,54,3,1.5,-1,1,0,0
11,60.25,4,6.25,1,0,0,0
12,68,2,7.75,-2,0,2,1
13,66.5,2,-1.5,0,0,1,1
14,71.666664,3,5.166664124,1,0,2,2
15,68,2,-3.666664124,-1,0,1,0
16,58.5,6,-9.5,4,0,1,2
17,53.25,4,-5.25,-2,0,3,1
18,57.4,5,4.150001526,1,0,1,1
19,59.666668,6,2.266666412,1,0,1,0
20,62.5,4,2.833332062,-2,0,2,0
21,70.5,2,8,-2,0,0,1
22,68.6,5,-1.900001526,3,0,2,1
23,73,2,4.400001526,-3,0,1,1
24,60.333332,6,-12.66666794,4,0,1,0
25,50,3,-10.33333206,-3,0,1,2
26,56.8,5,6.799999237,2,0,1,0
27,58.333332,6,1.533332825,1,0,0,1
28,68,2,9.666667938,-4,0,4,1
29,66.5,2,-1.5,0,0,2,2
30,71.666664,3,5.166664124,1,0,1,1
31,68,2,-3.666664124,-1,0,2,0
32,72.25,4,4.25,2,0,0,0
33,67.666664,3,-4.583335876,-1,0,0,1
34,60.75,4,-6.916664124,1,0,2,0
35,60.25,4,-0.5,0,0,2,2
36,60.666668,3,0.416667938,-1,0,0,1
37,67,3,6.333332062,0,0,1,1
38,64.25,4,-2.75,1,0,3,1
39,72.5,2,8.25,-2,0,0,0
40,58.333332,3,-14.16666794,1,0,0,0
41,65.333336,3,7.000003815,0,0,2,1
42,58.666668,3,-6.666667938,0,0,1,1
43,65,3,6.333332062,0,0,0,2
44,59.333332,6,-5.666667938,3,0,1,1
45,61,2,1.666667938,-4,0,1,1
46,56.25,4,-4.75,2,0,0,1
47,59.25,4,3,0,0,1,1
48,62,5,2.75,1,0,0,0
49,66.25,4,4.25,-1,0,0,2
50,66.5,2,0.25,-2,0,0,0
51,64.5,2,-2,0,0,0,0
52,66.5,2,2,0,0,1,1
53,58.25,4,-8.25,2,0,1,1
54,54.75,4,-3.5,0,0,0,1
55,54.75,0,0,-4,0,1,1
56,62.6,5,7.849998474,5,1,2,4
57,63,5,0.400001526,0,0,4,0
58,66.666664,6,3.666664124,1,0,1,0
59,62.8,5,-3.866664886,-1,0,0,1
60,58.5,6,-4.299999237,1,0,1,1
61,53.25,4,-5.25,-2,0,0,1
62,57.4,5,4.150001526,1,0,0,0
63,60.5,6,3.099998474,1,0,0,0
