,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
1,64,1,0,0,,
2,65.5,4,1.5,3,,
3,68,4,2.5,0,,
4,68,2,0,-2,,
5,66.5,2,-1.5,0,,
6,71.666664,3,5.166664124,1,,
7,68,2,-3.666664124,-1,,
8,68,2,0,0,,
9,66.5,2,-1.5,0,,
10,71.666664,3,5.166664124,1,,
11,68,2,-3.666664124,-1,,
12,72.25,4,4.25,2,,
13,67.666664,3,-4.583335876,-1,,
14,63,3,-4.666664124,0,,
15,60.5,2,-2.5,-1,,
16,62,3,1.5,1,,
17,54.5,2,-7.5,-1,1,
18,54,3,-0.5,1,,1
19,60.25,4,6.25,1,,
20,58.166668,6,-2.083332062,2,,
21,52.5,4,-5.666667938,-2,,
22,56.666668,3,4.166667938,-1,,
23,62.5,4,5.833332062,1,,
24,59.166668,6,-3.333332062,2,,
25,52.5,4,-6.666667938,-2,,
26,57.5,4,5,0,,
27,64.71429,7,7.214286804,3,,
28,62.285713,7,-2.428573608,0,,
29,58,4,-4.285713196,-3,,
30,54.8,5,-3.200000763,1,,
31,55.333332,6,0.533332825,1,,
32,55,3,-0.333332062,-3,,
33,54,2,-1,-1,1,
34,58.5,4,4.5,2,,1
35,60.5,4,2,0,,
36,63.2,5,2.700000763,1,,
37,62.75,4,-0.450000763,-1,,
38,59.25,4,-3.5,0,,
39,61,4,1.75,0,,
40,58.333332,3,-2.666667938,-1,,
41,52.666668,3,-5.666664124,0,,
42,60,5,7.333332062,2,,
43,58.5,4,-1.5,-1,,
44,60.5,4,2,0,,
45,56.8,5,-3.700000763,1,,
46,58.5,4,1.700000763,-1,,
47,59.8,5,1.299999237,1,,
48,63,3,3.200000763,-2,,
49,61,4,-2,1,1,
50,65.5,4,4.5,0,,1
51,68,4,2.5,0,,
52,68,2,0,-2,,
53,66.5,2,-1.5,0,,
54,71.666664,3,5.166664124,1,,
55,68,2,-3.666664124,-1,,
56,68,2,0,0,,
57,66.5,2,-1.5,0,,
58,71.666664,3,5.166664124,1,,
59,68,2,-3.666664124,-1,,
60,72.25,4,4.25,2,,
61,67.666664,3,-4.583335876,-1,,
62,63,3,-4.666664124,0,,
63,60.5,2,-2.5,-1,,
64,62,3,1.5,1,,
