,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,67.75,4,0,0,,
1,74,1,6.25,-3,,
2,67.2,5,-6.800003052,4,,
3,68.75,4,1.550003052,-1,,
4,67.75,4,-1,0,,
5,74,1,6.25,-3,,
6,67.2,5,-6.800003052,4,,
7,68.75,4,1.550003052,-1,,
8,67.75,4,-1,0,,
9,72.666664,3,4.916664124,-1,,
10,76,2,3.333335876,-1,,
11,76,2,0,0,,
12,73,6,-3,4,,
13,73.5,4,0.5,-2,,
14,71.2,5,-2.300003052,1,,
15,69,2,-2.199996948,-3,1,
16,61.666668,3,-7.333332062,1,,1
17,70,1,8.333332062,-2,,
18,62.666668,3,-7.333332062,2,,
19,69,1,6.333332062,-2,,
20,65.666664,3,-3.333335876,2,,
21,77,1,11.33333588,-2,,
22,62.666668,3,-14.33333206,2,,
23,77,1,14.33333206,-2,,
24,63,3,-14,2,,
25,74,1,11,-2,,
26,62.666668,3,-11.33333206,2,,
27,72,1,9.333332062,-2,,
28,64,3,-8,2,,
29,77,1,13,-2,,
30,64,3,-13,2,,
31,77,1,13,-2,1,
32,65.333336,3,-11.66666412,2,,1
33,70,1,4.666664124,-2,,
34,69,3,-1,2,,
35,67,1,-2,-2,,
36,69.666664,3,2.666664124,2,,
37,77,1,7.333335876,-2,,
38,69.666664,3,-7.333335876,2,,
39,75,1,5.333335876,-2,,
40,67.5,2,-7.5,1,,
41,74,1,6.5,-1,,
42,58,2,-16,1,,
43,70.5,2,12.5,0,,
44,49.5,2,-21,0,,
45,66,2,16.5,0,,
46,57.5,2,-8.5,0,,
47,66,2,8.5,0,1,
48,56.125,8,-9.875,6,,1
49,56.25,4,0.125,-4,,
50,56.125,8,-0.125,4,,
51,56.25,4,0.125,-4,,
52,58.625,8,2.375,4,,
53,62.375,8,3.75,0,,
54,65.875,8,3.5,0,,
55,68.375,8,2.5,0,,
56,67.9,10,-0.474998474,2,,
57,75,1,7.099998474,-9,,
58,73.5,2,-1.5,1,,
59,65,4,-8.5,2,,
60,68,3,3,-1,,
61,72,2,4,-1,,
62,60,2,-12,0,,
63,54,2,-6,0,,
