,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,68.5,8,0,0,,
1,68.75,4,0.25,-4,,
2,68.5,8,-0.25,4,,
3,68.75,4,0.25,-4,,
4,68.875,8,0.125,4,,
5,66.25,8,-2.625,0,,
6,68.875,8,2.625,0,,
7,66.25,8,-2.625,0,,
8,64,8,-2.25,0,,
9,63.5,4,-0.5,-4,,
10,64,8,0.5,4,,
11,63.5,4,-0.5,-4,,
12,60.75,8,-2.75,4,,
13,58,8,-2.75,0,,
14,60.75,8,2.75,0,,
15,58,8,-2.75,0,1,
16,56.125,8,-1.875,0,,1
17,56.25,4,0.125,-4,,
18,56.125,8,-0.125,4,,
19,56.25,4,0.125,-4,,
20,58.625,8,2.375,4,,
21,62.375,8,3.75,0,,
22,65.875,8,3.5,0,,
23,68.375,8,2.5,0,,
24,67.9,10,-0.474998474,2,,
25,75,1,7.099998474,-9,,
26,73.5,2,-1.5,1,,
27,65,4,-8.5,2,,
28,68,3,3,-1,,
29,72,2,4,-1,,
30,60,2,-12,0,,
31,54,2,-6,0,1,
32,49.5,4,-4.5,2,,1
33,53.333332,3,3.833332062,-1,,
34,50.75,4,-2.583332062,1,,
35,54.333332,3,3.583332062,-1,,
36,52,4,-2.333332062,1,,
37,55,3,3,-1,,
38,53,4,-2,1,,
39,55.666668,3,2.666667938,-1,,
40,56,4,0.333332062,1,,
41,57.666668,3,1.666667938,-1,,
42,55,4,-2.666667938,1,,
43,57,3,2,-1,,
44,54,4,-3,1,,
45,56.333332,3,2.333332062,-1,,
46,53,4,-3.333332062,1,,
47,55.666668,3,2.666667938,-1,1,
48,49.5,4,-6.166667938,1,,1
49,53.333332,3,3.833332062,-1,,
50,50.75,4,-2.583332062,1,,
51,54.333332,3,3.583332062,-1,,
52,52,4,-2.333332062,1,,
53,55,3,3,-1,,
54,53,4,-2,1,,
55,55.666668,3,2.666667938,-1,,
56,54,4,-1.666667938,1,,
57,56.333332,3,2.333332062,-1,,
58,55,4,-1.333332062,1,,
59,57.666668,3,2.666667938,-1,,
60,56.5,4,-1.166667938,1,,
61,58.666668,3,2.166667938,-1,,
62,66.5,2,7.833332062,-1,,
