,pitch_change,rhythm_change,boundaries,n_M_resp,n_NM_resp
0,0.0,0.0,0.0,2.0,0.0
1,4.3000030517578125,1.0,0.0,1.0,0.0
2,-4.4250030517578125,-2.0,0.0,1.0,0.0
3,0.9821434020996094,-1.0,0.0,0.0,0.0
4,4.142856597900391,-4.0,0.0,4.0,0.0
5,5.0,-1.0,0.0,1.0,2.0
6,-1.0,2.0,0.0,3.0,2.0
7,2.0,-3.0,0.0,0.0,0.0
8,-9.799999237060547,9.0,1.0,3.0,2.0
9,2.3999977111816406,0.0,0.0,2.0,1.0
10,-5.849998474121094,-2.0,0.0,1.0,0.0
11,1.3928565979003906,-1.0,0.0,0.0,0.0
12,2.6571426391601562,3.0,0.0,2.0,0.0
13,2.8999977111816406,0.0,0.0,1.0,0.0
14,-5.3249969482421875,-2.0,0.0,1.0,0.0
15,0.9107131958007812,-1.0,0.0,0.0,0.0
16,1.9642868041992188,-3.0,0.0,3.0,1.0
17,0.0,-4.0,0.0,3.0,1.0
18,2.25,8.0,0.0,2.0,1.0
19,0.0,0.0,0.0,0.0,2.0
20,-6.099998474121094,-3.0,0.0,3.0,0.0
21,-2.1500015258789062,-1.0,0.0,1.0,1.0
22,-3.8499984741210938,1.0,0.0,0.0,0.0
23,0.09999847412109375,-1.0,0.0,0.0,1.0
24,7.0,6.0,1.0,1.0,1.0
25,2.799999237060547,0.0,0.0,4.0,1.0
26,-5.549999237060547,-6.0,0.0,2.0,0.0
27,-0.25,2.0,0.0,0.0,0.0
28,8.75,-2.0,1.0,0.0,1.0
29,-0.5,0.0,0.0,2.0,1.0
30,2.75,0.0,0.0,1.0,0.0
31,3.25,0.0,0.0,1.0,0.0
32,-10.549999237060547,6.0,0.0,3.0,2.0
33,2.0,0.0,0.0,2.0,0.0
34,-4.866668701171875,-4.0,0.0,1.0,0.0
35,-0.8333320617675781,-2.0,0.0,0.0,0.0
36,3.0,0.0,1.0,2.0,0.0
37,-0.75,0.0,0.0,2.0,0.0
38,2.0,0.0,0.0,1.0,0.0
39,0.0,-4.0,0.0,0.0,0.0
40,4.25,3.0,0.0,1.0,1.0
41,5.0,-1.0,0.0,2.0,1.0
42,-1.0,2.0,0.0,0.0,0.0
43,2.0,-3.0,0.0,0.0,0.0
44,-12.25,3.0,0.0,0.0,1.0
45,0.0,-4.0,0.0,0.0,0.0
46,2.0,4.0,0.0,2.0,1.0
47,0.0,-4.0,0.0,0.0,1.0
48,7.849998474121094,5.0,1.0,2.0,0.0
49,-0.34999847412109375,-1.0,0.0,1.0,1.0
50,-0.0500030517578125,1.0,0.0,1.0,0.0
51,-0.4499969482421875,-1.0,0.0,1.0,0.0
52,-8.25,6.0,0.0,2.0,2.0
53,2.799999237060547,0.0,0.0,2.0,1.0
54,-5.633331298828125,-4.0,0.0,1.0,1.0
55,-0.16666793823242188,-2.0,0.0,0.0,0.0
56,3.700000762939453,6.0,1.0,0.0,0.0
57,2.0,0.0,0.0,1.0,0.0
58,-5.533332824707031,-4.0,0.0,0.0,0.0
59,-0.16666793823242188,-2.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,6.5,-2.0,0.0,0.0,0.0
62,-3.666667938232422,1.0,0.0,0.0,0.0
63,3.666667938232422,-1.0,0.0,0.0,0.0
64,-8.400001525878906,3.0,0.0,0.0,0.0
65,1.7333335876464844,-2.0,0.0,2.0,3.0
66,-2.583332061767578,1.0,0.0,1.0,0.0
67,3.583332061767578,-1.0,0.0,0.0,1.0
68,13.416667938232422,1.0,0.0,3.0,0.0
69,4.916664123535156,-1.0,0.0,3.0,5.0
70,3.3333358764648438,-1.0,0.0,1.0,0.0
71,-4.666664123535156,1.0,0.0,0.0,1.0
72,-13.083335876464844,1.0,0.0,2.0,0.0
73,8.75,-2.0,0.0,1.0,3.0
74,-9.75,2.0,0.0,2.0,1.0
75,9.75,-2.0,0.0,1.0,0.0
76,-11.75,2.0,0.0,2.0,0.0
