Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,correct_incorrect_p_3,correct_incorrect_practice_p,response,responseTime,scramble_p_3,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_spacePress,participant_spacePress2,played_notplayed,relative_pitch,Unnamed: 44,Unnamed: 45,scramble_cat_1,scramble_level,Unnamed: 48,soundName,strategy,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,No,"6-10,18-20",,guitar,,,1,,,,,,,5.0,,,2.0,,,Occasionally,Blues,Rock,Country,Monthly,4.0,Biweekly,,Occasionally,Occasionally,guitar,,Monthly,,,option_1,No,,,,,,,"imagine the feeling i get when listening, some parts were tricky because the feeling only changed after a sequence that could be 1 second long, so the changed happened but only after hearing the following notes could I realize when it took place",,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,1,16,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640395810709;1640395821237;1640395836017;1640395848538;1640395859689---values=;10526;25306;37826;48978""","""times=1640395810709;1640395885579;1640395892756;1640395908532;1640395920430---values=;14093;21270;37046;48944""",,,,,,1B,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,2,9,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640395932770;1640395940848;1640395947086;1640395949926;1640395965630;1640395970981;1640395974438;1640395982656---values=;8077;14315;17155;32859;38210;41667;49885""","""times=1640395932770;1640396000907;1640396005825;1640396013765;1640396024272;1640396033497;1640396039751;1640396042406---values=;9318;14236;22176;32683;41908;48162;50817""",,,,,,2B,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,3,13,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396050848;1640396065039;1640396078758;1640396083442;1640396092130;1640396096664;1640396103751---values=;14190;27909;32593;41281;45815;52902""","""times=1640396050848;1640396126652;1640396138387;1640396143457;1640396151029;1640396156967;1640396166669---values=;14925;26660;31730;39302;45240;54942""",,,,,,1B,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,4,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396173047;1640396189338;1640396196894;1640396203425;1640396216369;1640396228710---values=;16290;23846;30377;43321;55662""","""times=1640396173047;1640396248801;1640396263219;1640396273548---values=;16536;30954;41283""",,,,,,8B,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,5,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396291949;1640396305839;1640396325098;1640396331050;1640396339551;1640396356184---values=;13889;33148;39100;47600;64234""","""times=1640396291949;1640396372504;1640396393983;1640396409160---values=;13639;35118;50295""",,,,,,8B,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,6,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396426249;1640396442505;1640396459768;1640396469020---values=;16255;33518;42770""","""times=1640396426249;1640396494380---values=;17576""",,,,,,intact,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,7,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396527791;1640396544493;1640396562712;1640396577744;1640396591820---values=;16695;34914;49946;64022""","""times=1640396527791;1640396625565;1640396648185;1640396660488---values=;29157;51777;64080""",,,,,,intact,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,8,11,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396665427;1640396675383;1640396679298;1640396687195;1640396692230;1640396698298;1640396703764;1640396706356;1640396710846;1640396720254---values=;9955;13870;21767;26802;32870;38336;40928;45418;54826""","""times=1640396665427;1640396733232;1640396737330;1640396750394;1640396754630;1640396761147;1640396769080;1640396774805;1640396780067;1640396783269;1640396789085---values=;4764;8862;21926;26162;32679;40612;46337;51599;54801;60617""",,,,,,2B,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
