Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,choice,clip,Condition_Id,correct_incorrect_m_2,response,scramble_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response.1,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,Unnamed: 62,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,,,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,option_1,,,,,,,,,,,,,,,,,,,,,,,I tried to memorize the rithm and pressed the space bar every time it changed ,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,1,14,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396465281;1640396482708;1640396493642;1640396503746;1640396511895;1640396520841---values=;17422;28356;38460;46609;55555""","""times=1640396465281;1640396545965;1640396551724;1640396562353;1640396570161;1640396579766;1640396587344;1640396595603---values=;13650;19409;30038;37846;47451;55029;63288""",,,,,,,,,,,,,,,,,,1B,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,2,11,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396599363;1640396606214;1640396612519;1640396616916;1640396620131;1640396624340;1640396627756;1640396636877;1640396648702;1640396653369;1640396658428;1640396662711---values=;6849;13154;17551;20766;24975;28391;37512;49337;54004;59063;63346""","""times=1640396599363;1640396671943;1640396679944;1640396684547;1640396687981;1640396694105;1640396697763;1640396701082;1640396704575;1640396715754;1640396720562;1640396724345---values=;4728;12729;17332;20766;26890;30548;33867;37360;48539;53347;57130""",,,,,,,,,,,,,,,,,,2B,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,3,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396734971;1640396739892;1640396743803;1640396748986;1640396752079;1640396754290;1640396768130;1640396776599;1640396784469;1640396792839---values=;4918;8829;14012;17105;19316;33156;41625;49495;57865""","""times=1640396734971;1640396806838;1640396812533;1640396818500;1640396835120;1640396846902;1640396852318;1640396860752---values=;4306;10001;15968;32588;44370;49786;58220""",,,,,,,,,,,,,,,,,,8B,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,4,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396870019;1640396874629;1640396880683;1640396886629;1640396915139;1640396919183;1640396925011;1640396928560;1640396933216---values=;4608;10662;16608;45117;49162;54990;58539;63195""","""times=1640396870019;1640396947548;1640396951743;1640396955171;1640396982014;1640396986357;1640396993012;1640396996174;1640396998924---values=;10155;14350;17778;44621;48963;55619;58781;61531""",,,,,,,,,,,,,,,,,,8B,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,5,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397004685;1640397015010;1640397035939;1640397046370;1640397050308;1640397062629;1640397066558---values=;10324;31253;41684;45622;57943;61872""","""times=1640397004685;1640397080293;1640397096902;1640397102303;1640397105885;1640397112877;1640397128387---values=;9480;26089;31490;35072;42064;57574""",,,,,,,,,,,,,,,,,,intact,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,6,16,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397136863;1640397145174;1640397150443;1640397154876;1640397159877;1640397166189;1640397171963;1640397174301;1640397180056;1640397190106---values=;8282;13551;17984;22985;29297;35071;37409;43163;53214""","""times=1640397136863;1640397207530;1640397213914;1640397217541;1640397223500;1640397229808;1640397235930;1640397238089;1640397239588;1640397243622;1640397247016;1640397255622---values=;7076;13461;17088;23047;29355;35477;37636;39135;43169;46563;55169""",,,,,,,,,,,,,,,,,,1B,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,7,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397264003;1640397290097;1640397327040---values=;26071;63015""","""times=1640397264003;1640397336147;1640397339588;1640397347391;1640397357198;1640397393179---values=;5955;9396;17199;27006;62986""",,,,,,,,,,,,,,,,,,intact,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,8,12,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397396345;1640397402060;1640397406766;1640397409808;1640397413585;1640397418762;1640397425551;1640397430253;1640397433676;1640397445119;1640397449218;1640397454106;1640397457475---values=;5707;10413;13455;17232;22409;29198;33900;37323;48766;52865;57753;61122""","""times=1640397396345;1640397469021;1640397474239;1640397477690;1640397480936;1640397485804;1640397488975;1640397495352;1640397497385;1640397500683;1640397506256;1640397512962;1640397520637;1640397524621---values=;5041;10259;13710;16956;21824;24995;31372;33405;36703;42276;48982;56657;60641""",,,,,,,,,,,,,,,,,,2B,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
11,OpenEndedSeg_3,3,Ready?,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:00:20.000Z,342236,group_2,378307,Memory2/Open3,1,2021-12-25T01:13:31.000Z,,,,not measured,,True
