Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,conditions,consent,correct_incorrect_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,,,,,,,1,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,option_1,,,,,,,,,,,,,,,,,,,,,,,I paid attention to the pace and change of sounds. ,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,1,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397009136;1640397023178;1640397034685---values=16805;30847;42354""","""times=1640396992259;1640397069569;1640397076319;1640397092583---values=;18044;24794;41058""",,,,,,,,,,,,,,8B,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,2,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397111294;1640397128890;1640397148973---values=;17536;37619""","""times=1640397111294;1640397178820;1640397195957---values=;16906;34043""",,,,,,,,,,,,,,intact,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,3,13,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397212956;1640397227658;1640397238004;1640397247333;1640397253170;1640397258621;1640397264662---values=;14700;25046;34375;40212;45663;51704""","""times=1640397212956;1640397287726;1640397295500;1640397299425;1640397306897;1640397313230;1640397320471;1640397328462---values=;13757;21531;25456;32928;39261;46502;54493""",,,,,,,,,,,,,,1B,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397335344;1640397348739;1640397366259;1640397383085---values=;13393;30913;47739""","""times=1640397335344;1640397418899;1640397438607;1640397457783;1640397466923---values=;14860;34567;53744;62884""",,,,,,,,,,,,,,intact,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,5,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397473117;1640397491523;1640397509585;1640397523016---values=;18403;36465;49896""","""times=1640397473117;1640397558208;1640397578083;1640397590433---values=;18081;37957;50307""",,,,,,,,,,,,,,8B,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,6,16,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397607567;1640397621363;1640397633085;1640397645714---values=;13793;25515;38144""","""times=1640397607567;1640397682247;1640397708736---values=;13568;40057""",,,,,,,,,,,,,,1B,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,7,12,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397730051;1640397738788;1640397749043;1640397751903;1640397756090;1640397763070;1640397773087;1640397784591---values=;8735;18990;21850;26037;33017;43034;54538""","""times=1640397730052;1640397794784;1640397803640;1640397806377;1640397809900;1640397814134;1640397820725;1640397830602;1640397836405---values=;5684;14540;17277;20799;25034;31625;41502;47305""",,,,,,,,,,,,,,2B,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,8,11,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397848526;1640397857534;1640397861506;1640397868702;1640397881977;1640397889959;1640397903602---values=;9005;12977;20173;33448;41430;55073""","""times=1640397848526;1640397920317;1640397924646;1640397933591;1640397938882;1640397944904;1640397952659;1640397957158;1640397965691---values=;8713;13042;21987;27277;33300;41055;45554;54087""",,,,,,,,,,,,,,2B,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
11,OpenEndedSeg_2,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:07:13.000Z,342265,group_9,378336,Prediction3/Open2,1,2021-12-25T01:25:02.000Z,,,,not measured,,True
