Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,correct_incorrect_m_3,response,responseTime,scramble_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response_seg,response_seg2,response_Time2,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
2,Consent,1,Consent,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
4,GenInstructMemOpen,1,InstructionsMemOpen,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,1,imported_HP Instructions,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,2,imported_HP Trials,1,6,,,,,,,,choice 2,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.2.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp5.2.flac,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,2,imported_HP Trials,2,3,,,,,,,,choice 2,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp3.2.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp3.2.flac,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,2,imported_HP Trials,3,2,,,,,,,,choice 1,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp6.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp6.1.flac,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,2,imported_HP Trials,4,4,,,,,,,,choice 1,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp5.1.flac,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,2,imported_HP Trials,5,1,,,,,,,,choice 3,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.3.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp5.3.flac,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,2,imported_HP Trials,6,5,,,,,,,,choice 1,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp4.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp4.1.flac,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
6,HP_Screen,3,imported_HP Evaluation,1,1,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,2,imported_AP_headphone test,1,2,,,,,,,,,,,,,,,,,,two,,,,,,,,,,,,,,,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_S_O,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,2,imported_AP_headphone test,2,5,,,,,,,,,,,,,,,,,,two,,,,,,,,,,,,,,,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_S_I,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,2,imported_AP_headphone test,3,4,,,,,,,,,,,,,,,,,,one,,,,,,,,,,,,,,,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_I_O,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,2,imported_AP_headphone test,4,1,,,,,,,,,,,,,,,,,,three,,,,,,,,,,,,,,,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_O_S,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,2,imported_AP_headphone test,5,3,,,,,,,,,,,,,,,,,,one,,,,,,,,,,,,,,,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_O_I,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,2,imported_AP_headphone test,6,6,,,,,,,,,,,,,,,,,,three,,,,,,,,,,,,,,,True,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_I_S,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,1,imported_AP_instruction,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
7,AP_Screen,3,imported_AP_eval,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,1,Instructions_Memory,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,2,Practice_Memory,1,4,,,,,Second,,,Correct,1138.0,,,,,,incorrect_correc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,2,Practice_Memory,2,3,,,,,Second,,,Incorrect,882.0,,,,,,correct_incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,2,Practice_Memory,3,5,,,,,Second,,,Correct,957.0,,,,,,incorrect_correc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,4,60,,,,,Second,4_1B_memory_9.mp3,incorrect_left,Correct,1688.0,1B,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,7,43,,,,,Second,3_1B_memory_8.mp3,correct_left,Incorrect,863.0,1B,,0.666666667,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,10,47,,,,,First,4_1B_memory_6.mp3,correct_left,Correct,509.0,1B,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,12,44,,,,,Second,3_1B_memory_9.mp3,correct_left,Incorrect,624.0,1B,,0.888888889,0.888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,13,56,,,,,First,4_1B_memory_5.mp3,incorrect_left,Incorrect,3379.0,1B,,0.555555556,0.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,18,51,,,,,First,3_1B_memory_6.mp3,incorrect_left,Incorrect,2118.0,1B,,0.555555556,0.555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,22,45,,,,,First,3_1B_memory_10.mp3,correct_left,Correct,481.0,1B,,1176.666667,1176.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-08-31T19:25:30.000Z,481803,group_3,550666,Memory3/Open2,1,2022-08-31T18:41:20.000Z,,,,not measured,,True
