exp_subject_id,Trial_Nr,response,scramble,Musician,yrs_mus_exp
342236,1,Correct,1B,No,NA
342236,6,NA,1B,No,NA
342236,8,Correct,1B,No,NA
342236,11,Correct,1B,No,NA
342236,14,Incorrect,1B,No,NA
342236,17,Incorrect,1B,No,NA
342236,21,Correct,1B,No,NA
342236,27,Incorrect,1B,No,NA
342236,28,Correct,1B,No,NA
342236,29,Incorrect,1B,No,NA
342236,2,Incorrect,2B,No,NA
342236,3,Correct,2B,No,NA
342236,5,Correct,2B,No,NA
342236,9,Correct,2B,No,NA
342236,12,Correct,2B,No,NA
342236,13,Correct,2B,No,NA
342236,15,Incorrect,2B,No,NA
342236,19,Incorrect,2B,No,NA
342236,24,Correct,2B,No,NA
342236,26,Correct,2B,No,NA
342236,4,Correct,8B,No,NA
342236,7,Correct,8B,No,NA
342236,10,Correct,8B,No,NA
342236,16,Correct,8B,No,NA
342236,18,Incorrect,8B,No,NA
342236,20,Correct,8B,No,NA
342236,22,Correct,8B,No,NA
342236,23,Correct,8B,No,NA
342236,25,Incorrect,8B,No,NA
342236,30,Correct,8B,No,NA
342299,1,NA,2B,Yes,10
342299,2,Incorrect,2B,Yes,10
342299,3,Incorrect,1B,Yes,10
342299,4,Correct,1B,Yes,10
342299,5,Correct,8B,Yes,10
342299,6,Correct,2B,Yes,10
342299,7,Correct,2B,Yes,10
342299,8,Incorrect,1B,Yes,10
342299,9,Incorrect,8B,Yes,10
342299,10,Correct,2B,Yes,10
342299,11,Incorrect,1B,Yes,10
342299,12,Correct,2B,Yes,10
342299,13,Correct,8B,Yes,10
342299,14,Correct,8B,Yes,10
342299,15,Incorrect,8B,Yes,10
342299,16,Correct,1B,Yes,10
342299,17,Correct,8B,Yes,10
342299,18,Correct,1B,Yes,10
342299,19,Correct,1B,Yes,10
342299,20,Correct,2B,Yes,10
342299,21,Correct,8B,Yes,10
342299,22,Correct,2B,Yes,10
342299,23,Incorrect,1B,Yes,10
342299,24,Incorrect,8B,Yes,10
342299,25,Incorrect,2B,Yes,10
342299,26,Correct,8B,Yes,10
342299,27,Correct,1B,Yes,10
342299,28,Correct,2B,Yes,10
342299,29,Correct,1B,Yes,10
342299,30,Correct,8B,Yes,10
342301,1,Correct,8B,Yes,6
342301,2,Correct,1B,Yes,6
342301,3,Correct,8B,Yes,6
342301,4,Incorrect,1B,Yes,6
342301,5,Correct,8B,Yes,6
342301,6,Correct,1B,Yes,6
342301,7,Correct,8B,Yes,6
342301,8,Correct,2B,Yes,6
342301,9,Correct,1B,Yes,6
342301,10,Correct,8B,Yes,6
342301,11,Incorrect,1B,Yes,6
342301,12,Incorrect,2B,Yes,6
342301,13,Correct,8B,Yes,6
342301,14,Incorrect,2B,Yes,6
342301,15,Correct,2B,Yes,6
342301,16,Correct,1B,Yes,6
342301,17,Correct,2B,Yes,6
342301,18,Correct,1B,Yes,6
