Musician,sub,scramble,16,8,5,4,3,2,1
Yes,0,Intact,0.09739216050529444,0.024424059040590407,-0.048692146596858644,-0.016204992435703485,0.0112492726791854,0.00650304124691123,0.006240932642487045
Yes,1,Intact,-0.2238047337278116,-0.07276948868398994,-0.03325938938096891,-0.12660365335598983,-0.07477959373066613,-0.11270402434785971,-0.08241728258289151
Yes,2,Intact,-0.05474999999999999,-0.06707142857142857,-0.06140000000000001,-0.06953846153846154,-0.06905882352941176,-0.06985999999999999,-0.05215
Yes,3,Intact,0.4465622636223561,0.22526529502401885,-0.016145301788567608,0.0861774370208105,0.022812776164625678,0.009654893186298004,0.01796984369243724
Yes,4,Intact,-0.04927674788135593,-0.04909384767231452,-0.05380278006128092,-0.04984544235304999,-0.053904756639886,-0.013774030287971127,-0.02437917830284892
Yes,5,Intact,-0.0822,-0.101125,0.0658181818181818,-0.12371428571428572,0.1537222222222222,0.023461538461538468,0.03782352941176473
Yes,6,Intact,0.2971494607087828,0.1281538292011019,0.01715216527612236,0.03535446808510639,-0.024577340904882422,-0.0066489178665217865,0.0024952251023192124
Yes,7,Intact,-0.08096271086120155,-0.1005945348728642,-0.11895751638515151,-0.05277168065418549,-0.043604764919145986,-0.036307150919593675,-0.03204880809005223
Yes,8,Intact,0.2544916734033953,0.10100019489378288,-0.06104000000000237,-0.03931509711286091,0.032850509626274074,0.01850688148879515,0.020152915948613476
Yes,9,Intact,0.12683559980573092,0.02920673076923076,-0.03636147153106396,-0.023263470513364446,-0.09824629661794994,0.055982586640001955,0.015208301090397457
Yes,10,Intact,0.0717971987498553,0.1008225357845465,-0.0665163323415555,-0.01909203814593038,0.02185470410106454,-0.022820571230650323,-0.007547476352083179
Yes,11,Intact,0.068625,0.0061428571428571435,-0.01505,-0.029500000000000005,-0.07029411764705883,-0.030780000000000012,-0.012439999999999994
Yes,12,Intact,-0.04639999999999999,-0.04946497665110072,0.05760812006927073,0.029244332493702768,0.009484841577387743,0.028310255997423924,0.026268281176285588
Yes,13,Intact,0.07675,0.08049999999999999,0.03774999999999999,0.04938461538461539,-0.008441176470588233,-0.010279999999999987,0.019280000000000002
Yes,14,Intact,-0.033101529902642556,-0.034322309079975945,-0.03804060957658672,0.005392539964476019,-0.00408741804558227,-0.014602883955138474,-0.001507124895222004
Yes,15,Intact,0.03636685552407932,-0.02145816618911176,-0.09209027516019601,-0.057238938053097335,-0.03785191758172637,-0.005343923040825898,0.04233817021714522
Yes,16,Intact,0.050375835979193415,-0.03495174892460943,-0.009993853199951807,0.04984747032384466,-0.01700435518235368,0.058190729888119304,0.015956916994839778
Yes,17,Intact,-0.06509174311926605,-0.08290885674658215,0.057887846815162125,-0.1353414679756896,-0.010086861427901956,-0.027767537122375858,-0.003644403071910628
Yes,18,Intact,-0.07676943699731904,-0.040470210280373835,0.19831652128095548,-0.04251506575661728,0.14749427751136288,0.023612463275534314,0.03785295341944408
Yes,19,Intact,-0.04307469304229195,-0.045546468014169623,-0.05133416503297095,-0.04990509360034829,-0.024194361677744667,0.007275091089764827,0.011931393121065694
Yes,20,Intact,-0.0926680879712747,-0.13505052924840513,0.06142928505045141,-0.052130586643259466,-0.056950358920446156,-0.02473015873015872,-0.03880749445531748
Yes,21,Intact,-0.09099847723465812,-0.07292908559617989,0.14000408788962695,-0.05174025446532832,0.017009976087337387,-0.020175523349436383,-0.010024357895353856
Yes,22,Intact,0.12331775147928992,0.03864864864864864,-0.09461114563911333,0.0,-0.10945360320719666,-0.05983451266834057,-0.061480972425049366
