exp_subject_id,Musician,stimulus_set,scramble,mean_response_rate
342236,No,3,1B,8.4375
342236,No,3,2B,11.25
342236,No,3,8B,7.03125
342236,No,3,Intact,5.15625
342299,Yes,3,1B,12.65625
342299,Yes,3,2B,12.1875
342299,Yes,3,8B,4.21875
342299,Yes,3,Intact,1.875
342301,Yes,3,1B,5.625
342301,Yes,3,2B,7.03125
342301,Yes,3,8B,3.28125
342301,Yes,3,Intact,0.9375
344058,No,4,1B,4.6875
344058,No,4,2B,3.75
344058,No,4,8B,2.34375
344058,No,4,Intact,1.875
344111,Yes,3,1B,8.4375
344111,Yes,3,2B,5.625
344111,Yes,3,8B,8.90625
344111,Yes,3,Intact,2.8125
344739,Yes,4,1B,15
344739,Yes,4,2B,16.875
344739,Yes,4,8B,8.90625
344739,Yes,4,Intact,19.21875
346025,Yes,4,1B,3.75
346025,Yes,4,2B,1.875
346025,Yes,4,8B,3.75
346025,Yes,4,Intact,0.9375
352007,No,3,1B,8.4375
352007,No,3,2B,8.90625
352007,No,3,8B,6.5625
352007,No,3,Intact,4.21875
352021,No,4,1B,1.875
352021,No,4,2B,1.40625
352021,No,4,8B,0.9375
352021,No,4,Intact,1.875
353993,Yes,4,1B,4.21875
353993,Yes,4,2B,1.875
353993,Yes,4,8B,0.9375
353993,Yes,4,Intact,1.875
354009,Yes,4,1B,2.8125
354009,Yes,4,2B,0
354009,Yes,4,8B,0.9375
354009,Yes,4,Intact,0
355341,No,4,1B,0.9375
355341,No,4,2B,0
355341,No,4,8B,0
355341,No,4,Intact,0
355343,No,3,1B,8.90625
355343,No,3,2B,8.4375
355343,No,3,8B,4.6875
355343,No,3,Intact,6.5625
355346,No,4,1B,5.15625
355346,No,4,2B,3.28125
355346,No,4,8B,3.28125
355346,No,4,Intact,3.75
355373,No,3,1B,6.5625
355373,No,3,2B,7.5
355373,No,3,8B,5.15625
355373,No,3,Intact,5.625
355519,No,4,1B,0.9375
355519,No,4,2B,0.9375
355519,No,4,8B,0.9375
355519,No,4,Intact,0.9375
356778,Yes,4,1B,0
356778,Yes,4,2B,0
356778,Yes,4,8B,2.34375
356778,Yes,4,Intact,0
356785,Yes,4,1B,4.21875
356785,Yes,4,2B,3.75
356785,Yes,4,8B,2.34375
356785,Yes,4,Intact,3.75
356799,No,4,1B,1.40625
356799,No,4,2B,1.875
356799,No,4,8B,0.9375
356799,No,4,Intact,1.40625
356801,No,4,1B,6.09375
356801,No,4,2B,5.15625
356801,No,4,8B,6.09375
356801,No,4,Intact,6.5625
357404,Yes,3,1B,7.96875
357404,Yes,3,2B,8.4375
357404,Yes,3,8B,2.8125
357404,Yes,3,Intact,8.4375
357409,Yes,3,1B,7.96875
357409,Yes,3,2B,6.5625
357409,Yes,3,8B,3.75
357409,Yes,3,Intact,3.28125
357422,No,3,1B,9.84375
357422,No,3,2B,9.375
357422,No,3,8B,2.8125
357422,No,3,Intact,3.28125
357427,No,3,1B,4.6875
357427,No,3,2B,5.15625
357427,No,3,8B,2.8125
357427,No,3,Intact,2.8125
357468,No,4,1B,6.09375
357468,No,4,2B,7.03125
357468,No,4,8B,4.21875
357468,No,4,Intact,4.21875
359105,Yes,4,1B,7.03125
359105,Yes,4,2B,7.03125
359105,Yes,4,8B,2.8125
359105,Yes,4,Intact,2.8125
359116,Yes,3,1B,9.84375
359116,Yes,3,2B,11.25
359116,Yes,3,8B,3.28125
359116,Yes,3,Intact,3.75
359117,Yes,4,1B,7.96875
359117,Yes,4,2B,10.78125
359117,Yes,4,8B,2.8125
359117,Yes,4,Intact,6.09375
359121,No,4,1B,17.8125
359121,No,4,2B,11.25
359121,No,4,8B,18.28125
359121,No,4,Intact,20.625
360225,Yes,3,1B,1.40625
360225,Yes,3,2B,0.9375
360225,Yes,3,8B,0.9375
360225,Yes,3,Intact,1.40625
360230,Yes,3,1B,7.96875
360230,Yes,3,2B,5.625
360230,Yes,3,8B,3.28125
360230,Yes,3,Intact,5.15625
360247,No,3,1B,0.46875
360247,No,3,2B,0.46875
360247,No,3,8B,0
360247,No,3,Intact,0
360430,Yes,4,1B,7.03125
360430,Yes,4,2B,5.15625
360430,Yes,4,8B,4.6875
360430,Yes,4,Intact,0
360625,Yes,3,1B,7.03125
360625,Yes,3,2B,3.75
360625,Yes,3,8B,3.75
360625,Yes,3,Intact,5.15625
360645,No,3,1B,2.8125
360645,No,3,2B,3.28125
360645,No,3,8B,2.8125
360645,No,3,Intact,2.34375
361062,No,4,1B,0.9375
361062,No,4,2B,0.9375
361062,No,4,8B,1.40625
361062,No,4,Intact,0.9375
361063,No,3,1B,1.40625
361063,No,3,2B,1.875
361063,No,3,8B,1.40625
361063,No,3,Intact,0.9375
361567,Yes,4,1B,2.8125
361567,Yes,4,2B,1.875
361567,Yes,4,8B,2.8125
361567,Yes,4,Intact,1.875
361611,Yes,3,1B,1.875
361611,Yes,3,2B,2.8125
361611,Yes,3,8B,0.9375
361611,Yes,3,Intact,3.28125
361615,Yes,4,1B,0
361615,Yes,4,2B,0
361615,Yes,4,8B,1.875
361615,Yes,4,Intact,0
361865,No,3,1B,2.8125
361865,No,3,2B,2.8125
361865,No,3,8B,1.40625
361865,No,3,Intact,1.875
361959,Yes,4,1B,6.5625
361959,Yes,4,2B,7.5
361959,Yes,4,8B,2.8125
361959,Yes,4,Intact,4.6875
362551,Yes,3,1B,6.09375
362551,Yes,3,2B,3.75
362551,Yes,3,8B,3.28125
362551,Yes,3,Intact,1.875
362553,No,3,1B,6.09375
362553,No,3,2B,6.09375
362553,No,3,8B,5.15625
362553,No,3,Intact,7.96875
362580,No,3,1B,13.59375
362580,No,3,2B,14.53125
362580,No,3,8B,8.90625
362580,No,3,Intact,13.59375
362637,No,4,1B,6.5625
362637,No,4,2B,4.6875
362637,No,4,8B,3.75
362637,No,4,Intact,6.09375
363111,Yes,4,1B,0
363111,Yes,4,2B,0.46875
363111,Yes,4,8B,0
363111,Yes,4,Intact,0
363707,No,3,1B,3.28125
363707,No,3,2B,3.75
363707,No,3,8B,1.875
363707,No,3,Intact,3.75
364125,No,3,1B,8.4375
364125,No,3,2B,10.78125
364125,No,3,8B,9.375
364125,No,3,Intact,21.09375
385575,Yes,3,1B,2.34375
385575,Yes,3,2B,1.40625
385575,Yes,3,8B,1.40625
385575,Yes,3,Intact,0.9375
385577,Yes,3,1B,3.28125
385577,Yes,3,2B,7.5
385577,Yes,3,8B,3.75
385577,Yes,3,Intact,6.5625
385662,Yes,4,1B,0
385662,Yes,4,2B,0.46875
385662,Yes,4,8B,0.9375
385662,Yes,4,Intact,0.46875
385673,No,4,1B,1.40625
385673,No,4,2B,1.40625
385673,No,4,8B,1.40625
385673,No,4,Intact,1.40625
388167,Yes,4,1B,2.8125
388167,Yes,4,2B,3.28125
388167,Yes,4,8B,1.875
388167,Yes,4,Intact,1.40625
388171,Yes,4,1B,5.15625
388171,Yes,4,2B,5.15625
388171,Yes,4,8B,3.28125
388171,Yes,4,Intact,2.8125
388216,Yes,3,1B,4.6875
388216,Yes,3,2B,2.8125
388216,Yes,3,8B,2.34375
388216,Yes,3,Intact,3.28125
389621,Yes,3,1B,15
389621,Yes,3,2B,9.375
389621,Yes,3,8B,2.8125
389621,Yes,3,Intact,4.21875
389641,Yes,3,1B,6.09375
389641,Yes,3,2B,7.03125
389641,Yes,3,8B,6.5625
389641,Yes,3,Intact,6.09375
481793,No,4,1B,9.375
481793,No,4,2B,7.5
481793,No,4,8B,4.6875
481793,No,4,Intact,6.09375
481795,No,4,1B,22.03125
481795,No,4,2B,10.3125
481795,No,4,8B,4.6875
481795,No,4,Intact,6.09375
481798,No,3,1B,5.625
481798,No,3,2B,6.09375
481798,No,3,8B,5.15625
481798,No,3,Intact,2.8125
481849,Yes,4,1B,7.5
481849,Yes,4,2B,8.90625
481849,Yes,4,8B,4.21875
481849,Yes,4,Intact,2.8125
481854,Yes,3,1B,6.5625
481854,Yes,3,2B,7.03125
481854,Yes,3,8B,3.28125
481854,Yes,3,Intact,3.28125
481883,No,3,1B,5.15625
481883,No,3,2B,5.625
481883,No,3,8B,6.09375
481883,No,3,Intact,6.09375
483538,Yes,4,1B,5.625
483538,Yes,4,2B,5.15625
483538,Yes,4,8B,3.28125
483538,Yes,4,Intact,2.34375
484185,No,4,1B,1.875
484185,No,4,2B,1.40625
484185,No,4,8B,0.46875
484185,No,4,Intact,0.9375
610499,No,4,1B,2.8125
610499,No,4,2B,0
610499,No,4,8B,0.46875
610499,No,4,Intact,3.75
610501,No,4,1B,5.15625
610501,No,4,2B,4.21875
610501,No,4,8B,3.28125
610501,No,4,Intact,0.9375
610503,No,3,1B,7.03125
610503,No,3,2B,7.03125
610503,No,3,8B,5.15625
610503,No,3,Intact,4.21875
610522,No,4,1B,3.75
610522,No,4,2B,0.9375
610522,No,4,8B,2.8125
610522,No,4,Intact,0.46875
610756,Yes,3,1B,7.5
610756,Yes,3,2B,6.09375
610756,Yes,3,8B,2.8125
610756,Yes,3,Intact,2.34375
611455,No,3,1B,3.75
611455,No,3,2B,5.15625
611455,No,3,8B,2.8125
611455,No,3,Intact,1.40625
377647,Yes,1,1B,3.6363636363636367
377647,Yes,1,2B,5
377647,Yes,1,8B,3.6363636363636367
377647,Yes,1,Intact,1.3636363636363638
377663,No,1,1B,13.181818181818183
377663,No,1,2B,14.09090909090909
377663,No,1,8B,11.363636363636363
377663,No,1,Intact,15
377664,No,1,1B,1.8181818181818183
377664,No,1,2B,1.3636363636363638
377664,No,1,8B,1.8181818181818183
377664,No,1,Intact,1.3636363636363638
377665,No,1,1B,10.454545454545455
377665,No,1,2B,6.818181818181818
377665,No,1,8B,3.181818181818182
377665,No,1,Intact,2.272727272727273
377692,No,1,1B,1.8181818181818183
377692,No,1,2B,4.090909090909092
377692,No,1,8B,3.181818181818182
377692,No,1,Intact,2.7272727272727275
377701,No,1,1B,10
377701,No,1,2B,9.090909090909092
377701,No,1,8B,10.454545454545455
377701,No,1,Intact,9.545454545454547
377708,No,1,1B,2.7272727272727275
377708,No,1,2B,2.272727272727273
377708,No,1,8B,2.272727272727273
377708,No,1,Intact,2.272727272727273
377747,No,1,1B,8.636363636363637
377747,No,1,2B,6.818181818181818
377747,No,1,8B,5.454545454545455
377747,No,1,Intact,4.545454545454546
377770,No,1,1B,7.272727272727273
377770,No,1,2B,9.090909090909092
377770,No,1,8B,3.181818181818182
377770,No,1,Intact,1.3636363636363638
377777,No,1,1B,13.181818181818183
377777,No,1,2B,9.545454545454547
377777,No,1,8B,1.8181818181818183
377777,No,1,Intact,0.4545454545454546
393230,Yes,1,1B,3.6363636363636367
393230,Yes,1,2B,3.181818181818182
393230,Yes,1,8B,1.8181818181818183
393230,Yes,1,Intact,1.3636363636363638
393239,Yes,1,1B,3.181818181818182
393239,Yes,1,2B,2.272727272727273
393239,Yes,1,8B,1.8181818181818183
393239,Yes,1,Intact,1.8181818181818183
393240,Yes,1,1B,5
393240,Yes,1,2B,6.818181818181818
393240,Yes,1,8B,2.7272727272727275
393240,Yes,1,Intact,5
393241,Yes,1,1B,1.8181818181818183
393241,Yes,1,2B,3.6363636363636367
393241,Yes,1,8B,2.272727272727273
393241,Yes,1,Intact,2.7272727272727275
393242,Yes,1,1B,13.181818181818183
393242,Yes,1,2B,12.272727272727273
393242,Yes,1,8B,5.454545454545455
393242,Yes,1,Intact,6.818181818181818
393245,Yes,1,1B,2.272727272727273
393245,Yes,1,2B,3.181818181818182
393245,Yes,1,8B,3.181818181818182
393245,Yes,1,Intact,2.272727272727273
393246,Yes,1,1B,4.545454545454546
393246,Yes,1,2B,3.181818181818182
393246,Yes,1,8B,2.7272727272727275
