exp_subject_id,Musician,stimulus_set,scramble,stim_num,value
342236,No,3,1B,14,13.65
342236,No,3,1B,14,19.409
342236,No,3,1B,14,30.038
342236,No,3,1B,14,37.846
342236,No,3,1B,14,47.451
342236,No,3,1B,14,55.029
342236,No,3,1B,14,63.288
342236,No,3,2B,11,4.728
342236,No,3,2B,11,12.729
342236,No,3,2B,11,17.332
342236,No,3,2B,11,20.766
342236,No,3,2B,11,26.89
342236,No,3,2B,11,30.548
342236,No,3,2B,11,33.867
342236,No,3,2B,11,37.36
342236,No,3,2B,11,48.539
342236,No,3,2B,11,53.347
342236,No,3,2B,11,57.13
342236,No,3,8B,7,4.306
342236,No,3,8B,7,10.001
342236,No,3,8B,7,15.968
342236,No,3,8B,7,32.588
342236,No,3,8B,7,44.37
342236,No,3,8B,7,49.786
342236,No,3,8B,7,58.22
342236,No,3,8B,6,10.155
342236,No,3,8B,6,14.35
342236,No,3,8B,6,17.778
342236,No,3,8B,6,44.621
342236,No,3,8B,6,48.963
342236,No,3,8B,6,55.619
342236,No,3,8B,6,58.781
342236,No,3,8B,6,61.531
342236,No,3,Intact,2,9.48
342236,No,3,Intact,2,26.089
342236,No,3,Intact,2,31.49
342236,No,3,Intact,2,35.072
342236,No,3,Intact,2,42.064
342236,No,3,Intact,2,57.574
342236,No,3,1B,16,7.076
342236,No,3,1B,16,13.461
342236,No,3,1B,16,17.088
342236,No,3,1B,16,23.047
342236,No,3,1B,16,29.355
342236,No,3,1B,16,35.477
342236,No,3,1B,16,37.636
342236,No,3,1B,16,39.135
342236,No,3,1B,16,43.169
342236,No,3,1B,16,46.563
342236,No,3,1B,16,55.169
342236,No,3,Intact,3,5.955
342236,No,3,Intact,3,9.396
342236,No,3,Intact,3,17.199
342236,No,3,Intact,3,27.006
342236,No,3,Intact,3,62.986
342236,No,3,2B,12,5.041
342236,No,3,2B,12,10.259
342236,No,3,2B,12,13.71
342236,No,3,2B,12,16.956
342236,No,3,2B,12,21.824
342236,No,3,2B,12,24.995
342236,No,3,2B,12,31.372
342236,No,3,2B,12,33.405
342236,No,3,2B,12,36.703
342236,No,3,2B,12,42.276
342236,No,3,2B,12,48.982
342236,No,3,2B,12,56.657
342236,No,3,2B,12,60.641
342299,Yes,3,8B,5,0.83
342299,Yes,3,8B,5,16.92
342299,Yes,3,8B,5,26.446
342299,Yes,3,8B,5,32.642
342299,Yes,3,8B,5,48.867
342299,Yes,3,8B,5,63.353
342299,Yes,3,Intact,1,35.528
342299,Yes,3,Intact,1,50.566
342299,Yes,3,1B,16,7.031
342299,Yes,3,1B,16,9.71
342299,Yes,3,1B,16,10.956
342299,Yes,3,1B,16,13.071
342299,Yes,3,1B,16,17.213
342299,Yes,3,1B,16,21.063
342299,Yes,3,1B,16,35.382
342299,Yes,3,1B,16,37.422
342299,Yes,3,1B,16,39.202
342299,Yes,3,1B,16,42.879
342299,Yes,3,1B,16,45.233
342299,Yes,3,1B,16,53.211
342299,Yes,3,8B,7,17.543
342299,Yes,3,8B,7,33.226
