Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,conditions,consent,correct_incorrect_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,,,,,,,1,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,option_1,,,,,,,,,,,,,,,,,,,,,,,tried so see wich sounds didn't correspond to what I was listening. Diferent sounds also seem to cause a sense of stop/pause in the rythym of the music,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,1,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397187505---values=""","""times=1640397187505;1640397268321;1640397273432;1640397277586;1640397282994---values=;17951;23062;27216;32624""",,,,,,,,,,,,intact,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,2,13,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397329459;1640397337485;1640397345859;1640397352636---values=15617;23643;32017;38794""","""times=1640397313787;1640397408636;1640397412795;1640397417766---values=;28192;32351;37322""",,,,,,,,,,,,1B,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,3,9,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397447585;1640397466505;1640397493521---values=;18915;45931""","""times=1640397447585;1640397519321;1640397532740;1640397560212---values=;5253;18672;46144""",,,,,,,,,,,,2B,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397581031;1640397590744;1640397598921;1640397606888---values=;9708;17885;25852""","""times=1640397581031;1640397650272;1640397652593;1640397658001;1640397693937---values=;2282;4603;10011;45946""",,,,,,,,,,,,intact,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,5,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397715428;1640397720031;1640397728164;1640397732434;1640397736363;1640397740419;1640397744483;1640397748601;1640397754361;1640397754961;1640397765064;1640397769233;1640397773922;1640397779568---values=;4601;12734;17004;20933;24989;29053;33171;38931;39531;49634;53803;58492;64138""","""times=1640397715428;1640397787954;1640397791964;1640397795479;1640397798956;1640397803044;1640397806775;1640397810753;1640397814763;1640397820719;1640397823424;1640397831378;1640397836852;1640397839646;1640397843262---values=;5907;9917;13432;16909;20997;24728;28706;32716;38672;41377;49331;54805;57599;61215""",,,,,,,,,,,,2B,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,6,14,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397849123;1640397851738;1640397854197;1640397856809;1640397859825;1640397866431;1640397877056;1640397880180;1640397881938;1640397883753;1640397885644;1640397887440;1640397889262;1640397891278;1640397893771;1640397895913;1640397897777;1640397899916;1640397901637;1640397903594;1640397905814;1640397907584;1640397910706;1640397912222---values=;2613;5072;7684;10700;17306;27931;31055;32813;34628;36519;38315;40137;42153;44646;46788;48652;50791;52512;54469;56689;58458;61581;63097""","""times=1640397849123;1640397918786;1640397920920;1640397921798;1640397923788;1640397925832;1640397928833;1640397930167;1640397930782;1640397932149;1640397932558;1640397934861;1640397937540;1640397939247;1640397940878;1640397942974;1640397944459;1640397945977;1640397947959;1640397949957;1640397951824;1640397954230;1640397957257;1640397957418;1640397960363;1640397962950;1640397965454;1640397967182;1640397969875;1640397973039;1640397975440---values=;2482;4616;5494;7484;9528;12529;13863;14478;15845;16254;18557;21236;22943;24574;26670;28155;29673;31655;33653;35520;37926;40953;41114;44059;46646;49150;50878;53571;56735;59136""",,,,,,,,,,,,1B,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,7,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397983898;1640398000603;1640398009685;1640398047757---values=;16705;25787;63859""","""times=1640397983898;1640398050806;1640398082023;1640398084545;1640398093093;1640398102624---values=;398;31615;34137;42685;52216""",,,,,,,,,,,,8B,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,4,OpenEndedSeg_4,8,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640398117366;1640398119951;1640398142793;1640398148524;1640398150305;1640398172192---values=;2581;25423;31153;32935;54822""","""times=1640398117366;1640398187192;1640398203058;1640398216376;1640398223117;1640398223717;1640398237630;1640398248695---values=;2775;18640;31959;38700;39300;53213;64277""",,,,,,,,,,,,8B,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
11,OpenEndedSeg_4,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:13:33.000Z,342272,group_1,378343,Memory1/Open4,1,2021-12-25T01:33:11.000Z,,,,not measured,,True
