Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,choice,clip,Condition_Id,response,responseTime,correct_incorrect_p_3,scramble_p_3,correct_incorrect_practice_p,correctCount,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,Unnamed: 45,response_seg,response_seg2,response_Time2,Unnamed: 49,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,Unnamed: 62,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13.0,Post-Survey,1.0,Post-Survey,1.0,1.0,,,1,,,,,,,4.0,,,1.0,,,Occasionally,jazz,electronica,classical,2-3 Days/Week,4.0,,2-3 Days/Week,,Monthly,Weekly,Piano,,Monthly,,,,,,option_1,,No,,,,,,,,,,,,,,,,,,,,,"I tried to follow the tempo with my hand, although it was not easy ",,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,1.0,10.0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),,,,,,,,,Correct,1474.0,,,2B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,2.0,2.0,,,1,,1075.0,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),Every 2 seconds (every 1 measure),,,,,,,,Incorrect,Incorrect,1219.0,,,intact,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,3.0,9.0,,,3,,1339.0,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),Every 4 seconds (every 2 measures),,,,,,,,Correct,Correct,1439.0,,,2B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,4.0,15.0,,,4,,1355.0,,,,,,,,,,,,,,,,,,,,,,,,,Never,Never,,,,,,,,Incorrect,Incorrect,1236.0,,,1B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,5.0,6.0,,,2,,3587.0,,,,,,,,,,,,,,,,,,,,,,,,,Every 2 seconds (every 1 measure),Every 4 seconds (every 2 measures),,,,,,,,Incorrect,Incorrect,2902.0,,,8B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,6.0,13.0,,,4,,2831.0,,,,,,,,,,,,,,,,,,,,,,,,,Never,Every 4 seconds (every 2 measures),,,,,,,,Incorrect,Incorrect,1650.0,,,1B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,7.0,1.0,,,1,,2312.0,,,,,,,,,,,,,,,,,,,,,,,,,Every 2 seconds (every 1 measure),Every 2 seconds (every 1 measure),,,,,,,,Incorrect,Incorrect,1359.0,,,intact,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,4.0,CategorizationSeg_2,8.0,8.0,,,2,,1232.0,,,,,,,,,,,,,,,,,,,,,,,,,Every 16 seconds (every 8 measures),Never,,,,,,,,Correct,Incorrect,1817.0,,,8B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,3.0,Ready?,1.0,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,2.0,Practice_Categorization,1.0,1.0,,,1,,10015.0,,,,,,,,,,,,,,,,,,,,,,,,,Every 2 seconds (every 1 measure),Every 2 seconds (every 1 measure),,,,,intact,,,Incorrect,Incorrect,2286.0,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
11.0,CategorizationSeg_2,1.0,Instructions for Categorization Seg.,1.0,1.0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,1.0,47.0,First,4_1B_prediction_6.mp3,5,Correct,2053.0,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,7.0,53.0,Second,3_1B_prediction_8.mp3,6,Correct,1379.0,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,8.0,42.0,First,3_1B_prediction_7.mp3,5,Correct,861.0,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,10.0,45.0,Second,3_1B_prediction_10.mp3,5,Incorrect,838.0,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,11.0,54.0,First,3_1B_prediction_9.mp3,6,Incorrect,1223.0,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,12.0,58.0,Second,4_1B_prediction_7.mp3,6,Correct,1256.0,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
