Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,conditions,consent,correct_incorrect_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,,,,,,,1,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,option_1,,,,,,,,,,,,,,,,,,,,,,,Trying to catch the melody in the background. It was pretty hard tho. ,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,1,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642719241099;1642719258052;1642719267564;1642719273836;1642719290004---values=;16953;26465;32737;48905""","""times=1642719241099;1642719324891;1642719340636;1642719356676---values=;16475;32219;48260""",,,,,,,,,,,,,,,,,,8B,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,2,15,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642719375751;1642719389900;1642719403548;1642719426819---values=;14147;27796;51067""","""times=1642719375751;1642719466107;1642719470628;1642719478100;1642719483244;1642719502195---values=;23337;27858;35330;40474;59425""",,,,,,,,,,,,,,,,,,1B,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,3,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642719509790;1642719525916;1642719558276;1642719568004---values=;16125;48485;58213""","""times=1642719509790;1642719593140;1642719625588;1642719635347---values=;16143;48591;58350""",,,,,,,,,,,,,,,,,,8B,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,4,11,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642719644201;1642719652771;1642719661331;1642719665147;1642719670707;1642719677836;1642719692900;1642719700851;1642719704332;1642719706692---values=;8569;17129;20945;26505;33634;48698;56649;60130;62490""","""times=1642719644201;1642719712243;1642719728963;1642719742028;1642719760220;1642719765332;1642719768244---values=;345;17065;30130;48321;53434;56346""",,,,,,,,,,,,,,,,,,2B,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,5,9,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642719779586;1642719788212;1642719792083;1642719800771;1642719804260;1642719816708;1642719820484;1642719832339---values=;8625;12496;21184;24673;37121;40897;52752""","""times=1642719779586;1642719856275;1642719866748;1642719871444;1642719887019;1642719899428---values=;9644;20117;24813;40388;52797""",,,,,,,,,,,,,,,,,,2B,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,6,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642719913681;1642719928732;1642719945804;1642719961852---values=;15050;32122;48170""","""times=1642719913681;1642719995724;1642720006741;1642720011859;1642720015724;1642720037708---values=;16097;27113;32232;36097;58081""",,,,,,,,,,,,,,,,,,intact,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,7,14,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642720045570;1642720062044;1642720072676;1642720089884;1642720109675---values=;16474;27106;44314;64105""","""times=1642720045570;1642720142652;1642720144948;1642720154716;1642720162844;1642720176684---values=;30090;32386;42154;50281;64122""",,,,,,,,,,,,,,,,,,1B,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,4,OpenEndedSeg_3,8,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1642720179555;1642720206139---values=;26582""","""times=1642720179556;1642720271068---values=;25455""",,,,,,,,,,,,,,,,,,intact,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
11,OpenEndedSeg_3,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-01-20T23:12:32.000Z,357427,group_2,396303,Memory2/Open3,1,2022-01-20T22:20:47.000Z,,,,not measured,,True
