Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,correct_incorrect_m_3,response,responseTime,scramble_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response_seg,response_seg2,response_Time2,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,I don't know,age 6-11,,flute,,,,,,,,,,,,,,,4.0,,,2.0,,,Occasionally,pop,broadway musicals,rock,2 hours,,4.0,4-5 years,,3-4 hours,1 year,flute,,1.0,,,,,,option_1,,No,,,,,,,,,,,,,,,,,,I tried to listen carefully to the clips and really pay attention to the sounds,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647275880773---values=12981""","""times=1647275867718;1647275935590;1647275941673;1647275966000---values=;7199;13283;37610""",,,,,,,,,,,,1B,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647275989547;1647276010739---values=;21186""","""times=1647275989547;1647276063418;1647276065209;1647276073748;1647276083244;1647276087471;1647276094871;1647276106273---values=;10769;12560;21099;30595;34822;42222;53624""",,,,,,,,,,,,2B,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647276116204---values=""","""times=1647276116204;1647276175031;1647276184036;1647276189428;1647276203601;1647276214467---values=;8211;17215;22608;36781;47647""",,,,,,,,,,,,intact,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647276217849;1647276287353;1647276301246;1647276307196;1647276311796;1647276316582;1647276325350;1647276328724;1647276339282---values=;2958;16851;22801;27401;32187;40955;44329;54887""",,,,,,,,,,,,8B,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647276391688---values=40319""","""times=1647276351365;1647276428544;1647276445777;1647276452416;1647276468149;1647276472016---values=;14500;31733;38372;54105;57972""",,,,,,,,,,,,intact,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647276477171;1647276504274---values=;27098""","""times=1647276477171;1647276542258;1647276544727;1647276556949;1647276577381;1647276581092---values=;6147;8616;20838;41270;44981""",,,,,,,,,,,,2B,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,7,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647276595508---values=""","""times=1647276595508;1647276662802;1647276665244;1647276678532;1647276695097---values=;6319;8761;22049;38614""",,,,,,,,,,,,1B,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647276771623---values=53720""","""times=1647276717899;1647276790397;1647276800894;1647276802776;1647276811457;1647276816089;1647276818599;1647276826415;1647276832202;1647276834754;1647276849240---values=;5578;16076;17958;26639;31271;33781;41597;47384;49936;64422""",,,,,,,,,,,,8B,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,3,Ready?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,2,Practice_OpenEnded,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1647275796274---values=14829""",,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
11,OpenEndedSeg_2,1,Instructions_Open,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,1,46,,,,,Second,4_1B_memory_5.mp3,correct_left,Incorrect,1563.0,1B,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,3,58,,,,,First,4_1B_memory_7.mp3,incorrect_left,Incorrect,1016.0,1B,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,6,51,,,,,First,3_1B_memory_6.mp3,incorrect_left,Incorrect,895.0,1B,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,8,53,,,,,Second,3_1B_memory_8.mp3,incorrect_left,Correct,1221.0,1B,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,10,50,,,,,First,4_1B_memory_9.mp3,correct_left,Correct,1245.0,1B,,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,11,57,,,,,Second,4_1B_memory_6.mp3,incorrect_left,Correct,1904.0,1B,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-03-14T16:58:35.000Z,388232,group_3,435152,Memory3/Open2,1,2022-03-14T16:14:23.000Z,,,,not measured,,True
