,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,62.666668,3,0,0,0,0,1
1,61.333332,3,-1.333335876,0,0,0,1
2,56.8,5,-4.533332825,2,0,0,0
3,58.333332,6,1.533332825,1,0,0,0
4,58.333332,0,0,-6,0,2,5
5,64,1,5.666667938,1,0,3,2
6,59.333332,6,-4.666667938,5,0,2,2
7,61,2,1.666667938,-4,0,2,1
8,62,3,1,1,0,1,1
9,54.5,2,-7.5,-1,0,0,2
10,56.25,4,1.75,2,1,1,0
11,59.25,4,3,0,0,0,0
12,68,2,8.75,-2,0,0,2
13,66.5,2,-1.5,0,0,1,0
14,66.5,0,0,-2,0,2,2
15,62,1,-4.5,1,0,4,5
16,66.25,4,4.25,3,0,0,2
17,69.333336,3,3.083335876,-1,0,1,0
18,58.166668,6,-11.16666794,3,0,1,2
19,52.5,4,-5.666667938,-2,0,1,2
20,60.333332,3,7.833332062,-1,0,0,2
21,52.5,2,-7.833332062,-1,0,3,1
22,71.666664,3,19.16666412,1,1,0,1
23,68,2,-3.666664124,-1,0,0,0
24,62.666668,3,-5.333332062,1,0,3,0
25,64.5,2,1.833332062,-1,0,0,0
26,68.333336,3,3.833335876,1,0,2,2
27,70,2,1.666664124,-1,0,0,1
28,66.25,4,-3.75,2,0,0,1
29,69.333336,3,3.083335876,-1,0,0,1
30,58.666668,3,-10.66666794,0,0,0,0
31,58.333332,3,-0.333335876,0,0,0,0
32,56.666668,3,-1.666664124,0,0,0,2
33,65,4,8.333332062,1,0,0,2
34,58.5,6,-6.5,2,0,3,0
35,53.25,4,-5.25,-2,0,3,2
36,62.5,4,9.25,0,0,1,1
37,70.5,2,8,-2,0,0,1
38,64.25,4,-6.25,2,0,0,2
39,63.666668,3,-0.583332062,-1,0,1,0
40,60.333332,3,-3.333335876,0,0,0,2
41,60.333332,0,0,-3,0,0,0
42,57.5,4,-2.833332062,4,1,4,3
43,64.71429,7,7.214286804,3,0,2,0
44,57.4,5,-7.314285278,-2,0,1,2
45,59.666668,6,2.266666412,1,0,0,2
46,70.25,4,10.58333206,-2,0,2,2
47,75,2,4.75,-2,0,0,1
48,56.666668,3,-18.33333206,1,0,1,1
49,62.5,4,5.833332062,1,0,0,0
50,66.666664,6,4.166664124,2,0,0,1
51,62.8,5,-3.866664886,-1,0,2,1
52,67.6,5,4.799999237,0,0,1,0
53,66,3,-1.599998474,-2,0,0,1
54,71.666664,3,5.666664124,0,0,0,4
55,68,2,-3.666664124,-1,0,1,0
56,58.5,4,-9.5,2,0,0,1
57,59.8,5,1.299999237,1,0,0,1
58,68,2,8.200000763,-3,0,0,0
59,66.5,2,-1.5,0,0,2,2
60,56.666668,3,-9.833332062,1,0,0,2
61,62.5,4,5.833332062,1,0,0,1
62,62.666668,3,0.166667938,-1,0,1,0
63,61.333332,3,-1.333335876,0,0,1,0
