,MIDI,MIDI,height_change,density_change,,,
,mean,count,,,,,
beat,,,,,gt,agg_M,agg_NM
0,61.666668,3,0,0,0,0,0
1,70,1,8.333332062,-2,0,0,0
2,62.666668,3,-7.333332062,2,0,0,0
3,69,1,6.333332062,-2,0,0,0
4,55.2,5,-13.79999924,4,1,4,4
5,56.333332,3,1.133331299,-2,0,1,4
6,53,4,-3.333332062,1,0,0,0
7,55.666668,3,2.666667938,-1,0,0,0
8,64,8,8.333332062,5,1,1,0
9,63.5,4,-0.5,-4,0,0,2
10,64,8,0.5,4,0,0,2
11,63.5,4,-0.5,-4,0,0,1
12,68.6,5,5.099998474,1,0,1,1
13,69,4,0.400001526,-1,0,4,3
14,63,2,-6,-2,0,0,1
15,63,0,0,-2,0,0,0
16,59.2,5,-3.799999237,5,1,3,3
17,58.5,4,-0.700000763,-1,0,0,0
18,57,2,-1.5,-2,0,0,0
19,57,0,0,-2,0,0,0
20,71.6,5,14.59999847,5,1,1,2
21,70.25,4,-1.349998474,-1,0,2,2
22,60,4,-10.25,0,0,0,0
23,57,2,-3,-2,0,0,3
24,59.333332,3,2.333332062,1,1,1,5
25,62,2,2.666667938,-1,0,2,0
26,58.666668,3,-3.333332062,1,0,1,0
27,62,2,3.333332062,-1,0,0,1
28,65.666664,3,3.666664124,1,0,0,0
29,77,1,11.33333588,-2,0,2,0
30,62.666668,3,-14.33333206,2,0,0,2
31,77,1,14.33333206,-2,0,2,3
32,56.8,5,-20.20000076,4,0,0,1
33,57.666668,3,0.866668701,-2,0,4,2
34,55,4,-2.666667938,1,0,0,0
35,57,3,2,-1,0,0,1
36,67.75,4,10.75,1,0,1,1
37,74,1,6.25,-3,0,1,1
38,67.2,5,-6.800003052,4,0,1,3
39,68.75,4,1.550003052,-1,0,2,0
40,68.6,5,-0.150001526,1,0,1,0
41,70,2,1.400001526,-3,0,1,1
42,64.666664,3,-5.333335876,1,0,0,1
43,60,2,-4.666664124,-1,0,0,0
44,67.75,4,7.75,2,1,0,0
45,74,1,6.25,-3,0,0,0
46,67.2,5,-6.800003052,4,0,1,0
47,68.75,4,1.550003052,-1,0,0,0
48,57.6,5,-11.15000153,1,0,0,1
49,58.666668,3,1.066669464,-2,0,4,2
50,66.5,2,7.833332062,-1,0,0,0
51,66.5,0,0,-2,0,0,1
52,62.75,4,-3.75,4,1,1,3
53,69,1,6.25,-3,0,4,0
54,64.6,5,-4.400001526,4,0,1,1
55,69,2,4.400001526,-3,0,0,1
56,58.25,4,-10.75,2,0,1,4
57,67,2,8.75,-2,0,0,0
58,57.5,4,-9.5,2,0,0,1
59,67,2,9.5,-2,0,0,0
60,67.9,10,0.900001526,8,0,1,2
61,75,1,7.099998474,-9,0,1,2
62,73.5,2,-1.5,1,0,1,2
63,65,4,-8.5,2,0,2,1
