,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,,
0,60,9,0,0,,
1,64.3,10,4.300003052,1,,
2,59.875,8,-4.425003052,-2,,
3,60.857143,7,0.982143402,-1,,
4,60.444443,9,-0.412700653,2,,
5,64.7,10,4.255554199,1,,
6,59.375,8,-5.324996948,-2,,
7,60.285713,7,0.910713196,-1,,
8,59.77778,9,-0.50793457,2,,
9,62.9,10,3.1222229,1,,
10,59.375,8,-3.525001526,-2,,
11,60,7,0.625,-1,,
12,59.333332,9,-0.666667938,2,,
13,62.2,10,2.866668701,1,,
14,57.333332,6,-4.866668701,-4,,
15,56.5,4,-0.833332062,-2,1,
16,66.4,5,9.900001526,1,,1
17,64,5,-2.400001526,0,,
18,62,4,-2,-1,,
19,61.4,5,-0.599998474,1,,
20,62.5,4,1.099998474,-1,,
21,63.42857,7,0.928569794,3,,
22,61.75,4,-1.678569794,-3,,
23,62.57143,7,0.821430206,3,,
24,56.75,4,-5.821430206,-3,,
25,54.4,5,-2.349998474,1,,
26,53,4,-1.400001526,-1,,
27,51.8,5,-1.200000763,1,,
28,53.5,4,1.700000763,-1,,
29,54.857143,7,1.357143402,3,,
30,52.75,4,-2.107143402,-3,,
31,54,7,1.25,3,1,
32,58.666668,3,4.666667938,-4,,1
33,63,2,4.333332062,-1,,
34,62.333332,6,-0.666667938,4,,
35,63.6,5,1.266666412,-1,,
36,64.42857,7,0.828575134,2,,
37,68,8,3.571426392,1,,
38,59.375,8,-8.625,0,,
39,60.285713,7,0.910713196,-1,,
40,60.22222,9,-0.063491821,2,,
41,63.6,10,3.3777771,1,,
42,57.75,8,-5.849998474,-2,,
43,59.142857,7,1.392856598,-1,,
44,58.555557,9,-0.587299347,2,,
45,62.3,10,3.744441986,1,,
46,56.666668,6,-5.633331299,-4,,
47,56.5,4,-0.166667938,-2,1,
48,62.25,4,5.75,0,,1
49,62.25,0,0,-4,,
50,64.5,8,2.25,8,,
51,64.5,8,0,0,,
52,62.25,4,-2.25,-4,,
53,60.5,4,-1.75,0,,
54,58.75,4,-1.75,0,,
55,58.75,0,0,-4,,
56,60.75,4,2,4,,
57,61.5,8,0.75,4,,
58,61.5,4,0,-4,,
59,60.25,4,-1.25,0,,
60,59.5,4,-0.75,0,,
61,58.75,4,-0.75,0,,
62,60.75,4,2,0,,
