,MIDI,MIDI,height_change,density_change,,
,mean,count,,,,
beat,,,,,phrase_end,phrase_beg
0,60,9,0,0,,
1,64.3,10,4.300003052,1,,
2,59.875,8,-4.425003052,-2,,
3,60.857143,7,0.982143402,-1,,
4,60.444443,9,-0.412700653,2,,
5,64.7,10,4.255554199,1,,
6,59.375,8,-5.324996948,-2,,
7,60.285713,7,0.910713196,-1,,
8,59.77778,9,-0.50793457,2,,
9,62.9,10,3.1222229,1,,
10,59.375,8,-3.525001526,-2,,
11,60,7,0.625,-1,,
12,59.333332,9,-0.666667938,2,,
13,62.2,10,2.866668701,1,,
14,57.333332,6,-4.866668701,-4,,
15,56.5,4,-0.833332062,-2,1,
16,60,9,3.5,5,,1
17,64.3,10,4.300003052,1,,
18,59.875,8,-4.425003052,-2,,
19,60.857143,7,0.982143402,-1,,
20,60.444443,9,-0.412700653,2,,
21,64.7,10,4.255554199,1,,
22,59.375,8,-5.324996948,-2,,
23,60.285713,7,0.910713196,-1,,
24,59.77778,9,-0.50793457,2,,
25,62.9,10,3.1222229,1,,
26,59.375,8,-3.525001526,-2,,
27,60,7,0.625,-1,,
28,59.333332,9,-0.666667938,2,,
29,62.2,10,2.866668701,1,,
30,56.666668,6,-5.533332825,-4,,
31,56.5,4,-0.166667938,-2,1,
32,56.5,2,0,-2,,1
33,63,2,6.5,0,,
34,62.333332,6,-0.666667938,4,,
35,63.6,5,1.266666412,-1,,
36,64.42857,7,0.828575134,2,,
37,68,8,3.571426392,1,,
38,59.375,8,-8.625,0,,
39,60.285713,7,0.910713196,-1,,
40,60.22222,9,-0.063491821,2,,
41,63.6,10,3.3777771,1,,
42,57.75,8,-5.849998474,-2,,
43,59.142857,7,1.392856598,-1,,
44,58.555557,9,-0.587299347,2,,
45,62.3,10,3.744441986,1,,
46,56.666668,6,-5.633331299,-4,1,
47,56.5,4,-0.166667938,-2,,1
48,54.666668,3,-1.833332062,-1,,
49,58.125,8,3.458332062,5,,
50,62.333332,6,4.208332062,-2,,
51,63.6,5,1.266666412,-1,,
52,64.42857,7,0.828575134,2,,
53,68,8,3.571426392,1,,
54,59.375,8,-8.625,0,,
55,60.285713,7,0.910713196,-1,,
56,60.22222,9,-0.063491821,2,,
57,63.6,10,3.3777771,1,,
58,57.75,8,-5.849998474,-2,,
59,59.142857,7,1.392856598,-1,,
60,58.555557,9,-0.587299347,2,,
61,62.3,10,3.744441986,1,,
62,56.75,4,-5.549999237,-6,,
63,56.5,6,-0.25,2,,
