stimulus_set,scramble,stim_num,level,boundary_time,
1,Intact,1,16,34,
1,Intact,1,16,66,
1,Intact,1,8,18,
1,Intact,1,8,34,
1,Intact,1,8,50,
1,Intact,1,8,66,
1,Intact,1,5,12,
1,Intact,1,5,22,
1,Intact,1,5,32,
1,Intact,1,5,42,
1,Intact,1,5,52,
1,Intact,1,5,62,
1,Intact,1,4,10,
1,Intact,1,4,18,
1,Intact,1,4,26,
1,Intact,1,4,34,
1,Intact,1,4,42,
1,Intact,1,4,50,
1,Intact,1,4,58,
1,Intact,1,4,66,
1,Intact,1,3,8,
1,Intact,1,3,14,
1,Intact,1,3,20,
1,Intact,1,3,26,
1,Intact,1,3,32,
1,Intact,1,3,38,
1,Intact,1,3,44,
1,Intact,1,3,50,
1,Intact,1,3,56,
1,Intact,1,3,62,
1,Intact,1,2,6,
1,Intact,1,2,10,
1,Intact,1,2,14,
1,Intact,1,2,18,
1,Intact,1,2,22,
1,Intact,1,2,26,
1,Intact,1,2,30,
1,Intact,1,2,34,
1,Intact,1,2,38,
1,Intact,1,2,42,
1,Intact,1,2,46,
1,Intact,1,2,50,
1,Intact,1,2,54,
1,Intact,1,2,58,
1,Intact,1,2,62,
1,Intact,1,2,66,
1,Intact,1,1,4,
1,Intact,1,1,6,
1,Intact,1,1,8,
1,Intact,1,1,10,
1,Intact,1,1,12,
1,Intact,1,1,14,
1,Intact,1,1,16,
1,Intact,1,1,18,
1,Intact,1,1,20,
1,Intact,1,1,22,
1,Intact,1,1,24,
1,Intact,1,1,26,
1,Intact,1,1,28,
1,Intact,1,1,30,
1,Intact,1,1,32,
1,Intact,1,1,34,
1,Intact,1,1,36,
1,Intact,1,1,38,
1,Intact,1,1,40,
1,Intact,1,1,42,
1,Intact,1,1,44,
1,Intact,1,1,46,
1,Intact,1,1,48,
1,Intact,1,1,50,
1,Intact,1,1,52,
1,Intact,1,1,54,
1,Intact,1,1,56,
1,Intact,1,1,58,
1,Intact,1,1,60,
1,Intact,1,1,62,
1,Intact,1,1,64,
1,Intact,1,1,66,
1,Intact,3,16,34,
1,Intact,3,16,66,
1,Intact,3,8,18,
1,Intact,3,8,34,
1,Intact,3,8,50,
1,Intact,3,8,66,
1,Intact,3,5,12,
1,Intact,3,5,22,
1,Intact,3,5,32,
1,Intact,3,5,42,
1,Intact,3,5,52,
1,Intact,3,5,62,
1,Intact,3,4,10,
1,Intact,3,4,18,
1,Intact,3,4,26,
1,Intact,3,4,34,
1,Intact,3,4,42,
1,Intact,3,4,50,
1,Intact,3,4,58,
1,Intact,3,4,66,
1,Intact,3,3,8,
1,Intact,3,3,14,
1,Intact,3,3,20,
1,Intact,3,3,26,
1,Intact,3,3,32,
1,Intact,3,3,38,
1,Intact,3,3,44,
1,Intact,3,3,50,
1,Intact,3,3,56,
1,Intact,3,3,62,
1,Intact,3,2,6,
1,Intact,3,2,10,
1,Intact,3,2,14,
1,Intact,3,2,18,
1,Intact,3,2,22,
1,Intact,3,2,26,
1,Intact,3,2,30,
1,Intact,3,2,34,
1,Intact,3,2,38,
1,Intact,3,2,42,
1,Intact,3,2,46,
1,Intact,3,2,50,
1,Intact,3,2,54,
1,Intact,3,2,58,
1,Intact,3,2,62,
1,Intact,3,2,66,
1,Intact,3,1,4,
1,Intact,3,1,6,
1,Intact,3,1,8,
1,Intact,3,1,10,
1,Intact,3,1,12,
1,Intact,3,1,14,
1,Intact,3,1,16,
1,Intact,3,1,18,
1,Intact,3,1,20,
1,Intact,3,1,22,
1,Intact,3,1,24,
1,Intact,3,1,26,
1,Intact,3,1,28,
1,Intact,3,1,30,
1,Intact,3,1,32,
1,Intact,3,1,34,
1,Intact,3,1,36,
1,Intact,3,1,38,
1,Intact,3,1,40,
1,Intact,3,1,42,
1,Intact,3,1,44,
1,Intact,3,1,46,
1,Intact,3,1,48,
1,Intact,3,1,50,
1,Intact,3,1,52,
1,Intact,3,1,54,
1,Intact,3,1,56,
1,Intact,3,1,58,
1,Intact,3,1,60,
1,Intact,3,1,62,
1,Intact,3,1,64,
1,Intact,3,1,66,
1,8B,1,16,34,
1,8B,1,16,66,
1,8B,1,8,18,
1,8B,1,8,34,
1,8B,1,8,50,
1,8B,1,8,66,
1,8B,1,5,12,
