Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,choice,clip,Condition_Id,response,responseTime,correct_incorrect_p_3,scramble_p_3,correct_incorrect_practice_p,correctCount,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,prolific_ID,prolific_ID_copy_30d1,relative_pitch,,response_seg,response_seg2,response_Time2,,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,,,1,,,,,,,4,,,1,,,Occasionally,jazz,electronica,classical,2-3 Days/Week,4,,2-3 Days/Week,,Monthly,Weekly,Piano,,Monthly,,,,,,option_1,,,,No,,,,,,,,,,,,,,,,,,,,,"I tried to follow the tempo with my hand, although it was not easy ",,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,1,10,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),,,,,,,,,,,Correct,1474,,,2B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,2,2,,,1,,1075,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),Every 2 seconds (every 1 measure),,,,,,,,,,Incorrect,Incorrect,1219,,,intact,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,3,9,,,3,,1339,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),Every 4 seconds (every 2 measures),,,,,,,,,,Correct,Correct,1439,,,2B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,4,15,,,4,,1355,,,,,,,,,,,,,,,,,,,,,,,,,Never,Never,,,,,,,,,,Incorrect,Incorrect,1236,,,1B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,5,6,,,2,,3587,,,,,,,,,,,,,,,,,,,,,,,,,Every 2 seconds (every 1 measure),Every 4 seconds (every 2 measures),,,,,,,,,,Incorrect,Incorrect,2902,,,8B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,6,13,,,4,,2831,,,,,,,,,,,,,,,,,,,,,,,,,Never,Every 4 seconds (every 2 measures),,,,,,,,,,Incorrect,Incorrect,1650,,,1B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,7,1,,,1,,2312,,,,,,,,,,,,,,,,,,,,,,,,,Every 2 seconds (every 1 measure),Every 2 seconds (every 1 measure),,,,,,,,,,Incorrect,Incorrect,1359,,,intact,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,4,CategorizationSeg_2,8,8,,,2,,1232,,,,,,,,,,,,,,,,,,,,,,,,,Every 16 seconds (every 8 measures),Never,,,,,,,,,,Correct,Incorrect,1817,,,8B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,3,Ready?,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,2,Practice_Categorization,1,1,,,1,,10015,,,,,,,,,,,,,,,,,,,,,,,,,Every 2 seconds (every 1 measure),Every 2 seconds (every 1 measure),,,,,intact,,,,,Incorrect,Incorrect,2286,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
11,CategorizationSeg_2,1,Instructions for Categorization Seg.,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,1,47,First,4_1B_prediction_6.mp3,5,Correct,2053,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,7,53,Second,3_1B_prediction_8.mp3,6,Correct,1379,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,8,42,First,3_1B_prediction_7.mp3,5,Correct,861,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,10,45,Second,3_1B_prediction_10.mp3,5,Incorrect,838,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,11,54,First,3_1B_prediction_9.mp3,6,Incorrect,1223,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,12,58,Second,4_1B_prediction_7.mp3,6,Correct,1256,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,15,59,Second,4_1B_prediction_8.mp3,6,Correct,1536,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,16,46,Second,4_1B_prediction_5.mp3,5,Incorrect,1340,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,17,51,First,3_1B_prediction_6.mp3,6,Incorrect,1827,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,25,50,Second,4_8B_prediction_9.mp3,5,Incorrect,1745,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,9,39,Second,4_2B_prediction_8.mp3,4,Correct,980,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,13,34,Second,3_2B_prediction_9.mp3,4,Correct,1028,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,14,22,First,3_2B_prediction_7.mp3,3,Correct,1493,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,21,35,First,3_2B_prediction_10.mp3,4,Incorrect,1278,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,23,38,First,4_2B_prediction_7.mp3,4,Incorrect,1240,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,24,36,Second,4_2B_prediction_5.mp3,4,Correct,959,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
