Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,choice,clip,correct_incorrect_m_3,response,responseTime,scramble_m_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,prolific_ID,prolific_ID_copy_30d1,relative_pitch,response_seg,response_seg2,response_Time2,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
2,Consent,1,Consent,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62e3f310f4f4ececa6d61314,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
4,GenInstructMemOpen,1,InstructionsMemOpen,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
6,HP_Screen,1,imported_HP Instructions,1,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
6,HP_Screen,2,imported_HP Trials,1,6,,,,choice 2,,,,,,,,0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp1.2.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp1.2.flac,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
6,HP_Screen,2,imported_HP Trials,2,3,,,,choice 1,,,,,,,,0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp3.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp3.1.flac,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
6,HP_Screen,2,imported_HP Trials,3,2,,,,choice 2,,,,,,,,0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp3.2.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp3.2.flac,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
6,HP_Screen,2,imported_HP Trials,4,1,,,,choice 1,,,,,,,,0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp5.1.flac,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
6,HP_Screen,2,imported_HP Trials,5,5,,,,choice 1,,,,,,,,0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp2.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp2.1.flac,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
6,HP_Screen,2,imported_HP Trials,6,4,,,,choice 3,,,,,,,,0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.3.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hp5.3.flac,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,1,imported_AP_instruction,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
