exp_subject_id,Task_Name,Trial_Nr,participant_spacePress2,practice_catseg_scramble,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3
342265.0,Post-Survey,1.0,,,,,,,,,,,,,,
342265.0,OpenEndedSeg_2,1.0,"""times=1640396992259;1640397069569;1640397076319;1640397092583---values=;18044;24794;41058""",,,,,,8B,,,,,,,
342265.0,OpenEndedSeg_2,2.0,"""times=1640397111294;1640397178820;1640397195957---values=;16906;34043""",,,,,,intact,,,,,,,
342265.0,OpenEndedSeg_2,3.0,"""times=1640397212956;1640397287726;1640397295500;1640397299425;1640397306897;1640397313230;1640397320471;1640397328462---values=;13757;21531;25456;32928;39261;46502;54493""",,,,,,1B,,,,,,,
342265.0,OpenEndedSeg_2,4.0,"""times=1640397335344;1640397418899;1640397438607;1640397457783;1640397466923---values=;14860;34567;53744;62884""",,,,,,intact,,,,,,,
342265.0,OpenEndedSeg_2,5.0,"""times=1640397473117;1640397558208;1640397578083;1640397590433---values=;18081;37957;50307""",,,,,,8B,,,,,,,
342265.0,OpenEndedSeg_2,6.0,"""times=1640397607567;1640397682247;1640397708736---values=;13568;40057""",,,,,,1B,,,,,,,
342265.0,OpenEndedSeg_2,7.0,"""times=1640397730052;1640397794784;1640397803640;1640397806377;1640397809900;1640397814134;1640397820725;1640397830602;1640397836405---values=;5684;14540;17277;20799;25034;31625;41502;47305""",,,,,,2B,,,,,,,
342265.0,OpenEndedSeg_2,8.0,"""times=1640397848526;1640397920317;1640397924646;1640397933591;1640397938882;1640397944904;1640397952659;1640397957158;1640397965691---values=;8713;13042;21987;27277;33300;41055;45554;54087""",,,,,,2B,,,,,,,
342265.0,Ready?,1.0,,,,,,,,,,,,,,
342265.0,Practice_OpenEnded,1.0,"""times=1640396931652;1640396947045;1640396956873;1640396976956---values=25315;40708;50536;70619""",,,,,,,,,,,,,
342265.0,Instructions_Open,1.0,,,,,,,,,,,,,,
342265.0,Prediction_3,1.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,2.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,3.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,4.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,5.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,6.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,7.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,8.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,9.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,10.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,11.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,12.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,13.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,14.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,15.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,16.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,17.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,18.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,19.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,20.0,,,,,,,,,,,,,,1B
