Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,best_instru,Condition_Id,correctCount,decision,earworm,errorCount,exampleCount,practice_cond,familiarity,fileArray,filePick,Frequenc,genre1,genre2,genre3,hour,imagery1,imagery2,imagery3,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,played_notplayed,,relative_pitch,response,retestCount,set1response,soundName,space_press1,space_press2,strategy,toneSequence,completed,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked,headphone_descript
3,post_survey,1,post_survey,1,1,,,,1,NA,,4,NA,NA,,3,,,,progressive rock,jazz,chillout,,6,7,5,,,60-90 min,,,NA,NA,no,,,,NA,NA,,,,,,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,23,100%,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,,,"I was trying to listen carefully and pay attention to any ""climate"" change:)",,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,21,8B_2,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,"""times=1645569371758;1645569388791;1645569422227;1645569436764---values=;17032;50468;65005""","""times=1645569371758;1645569472180;1645569488465;1645569506034;1645569520298---values=;17059;33344;50913;65177""",,,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,20,2B_1,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,"""times=1645569201571;1645569205087;1645569206372;1645569211000;1645569214087;1645569218238;1645569222602;1645569224934;1645569228967;1645569238550;1645569246295;1645569250994;1645569260060;1645569263549;1645569270307;1645569276767;1645569278677---values=;3514;4799;9427;12514;16665;21029;23361;27393;36977;44722;49421;58487;61976;68733;75194;77104""","""times=1645569301872;1645569312685;1645569322471;1645569330656;1645569346233;1645569363030---values=16924;27737;37522;45708;61284;78082""",,,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,19,intact_3,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,"""times=1645569026262;1645569045530---values=;19268""","""times=1645569026262---values=""",,,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,17,75%,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,,,"I was still trying to listen carefully to the music (some kind of mix of classical and ""saloon"" music). I pay attention to the chang of ""climate"".",,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,15,2B_2,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,"""times=1645568741120;1645568750411;1645568754151;1645568762180;1645568766197;1645568773053;1645568773896;1645568778608;1645568779667;1645568787677;1645568790409;1645568794100;1645568801766;1645568806082;1645568809969;1645568812166;1645568814349;1645568819173;1645568820540---values=;9289;13029;21058;25075;31931;32774;37485;38545;46555;49287;52978;60644;64960;68847;71044;73227;78051;79418""","""times=1645568741121;1645568833572;1645568837174;1645568841622;1645568845311;1645568854876;1645568857033;1645568865318;1645568873651;1645568875121;1645568877217;1645568881961;1645568885209;1645568886932;1645568889138;1645568893207;1645568895405;1645568898997;1645568903580---values=;9095;12697;17145;20834;30399;32556;40841;49174;50644;52740;57484;60732;62455;64661;68730;70927;74520;79103""",,,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,14,8B_1,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,"""times=1645568562034;1645568581801;1645568599254;1645568630537---values=;19766;37219;68502""","""times=1645568562034;1645568670422;1645568680281;1645568686318;1645568718465---values=;20539;30398;36435;68582""",,,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,13,1B_3,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,"""times=1645568389862;1645568395476;1645568399010;1645568400899;1645568410384;1645568425410;1645568429306;1645568435028;1645568440004;1645568443416;1645568448770;1645568452250;1645568459225---values=;5613;9147;11036;20521;35547;39443;45165;50141;53553;58907;62387;69361""","""times=1645568389862;1645568479790;1645568485963;1645568494692;1645568516191;1645568524175;1645568527384;1645568530696;1645568534184;1645568536010;1645568538365;1645568542302;1645568544749;1645568545830;1645568552135;1645568553444---values=;5090;11263;19992;41491;49475;52684;55996;59483;61310;63665;67602;70048;71130;77435;78744""",,,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
2,block_3,11,50%,1,1,,,,1,NA,,NA,NA,NA,,NA,,,,,,,,NA,NA,NA,,,,,,NA,NA,,,,,NA,NA,,,,"I was still just trying to listen carefully I think. I pay attention to the drastic change in the ""climate"" of the music pieces.",,yes,2022-02-22T22:41:54.000Z,377777,group_3,422457,session_3,1,2022-02-22T21:45:11.000Z,NA,NA,NA,not measured,NA,TRUE,NA
