Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,correct_incorrect_p_3,response,scramble_p_3,correct_incorrect_practice_p,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,Unnamed: 47,responseTime,scramble_level,Unnamed: 50,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,No,"Voice age 18-26, violin age 5-18",,voice,,,1,,,,,,4.0,,,1.0,,,Weekly,rock,indie,opera,Monthly,4.0,2-3 Days/Week,,Monthly,2-3 Days/Week,"Voice, violin",,Biweekly,,,,,,option_1,,Yes,,,,,,,I pushed the space button when i hear a change in harmony,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,1,14,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396881951---values=26633""","""times=1640396855258;1640396942514;1640396953594;1640396962880---values=;26323;37403;46689""",,,,,,1B,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,2,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396977574;1640396981783---values=;4208""","""times=1640396977574;1640397069492;1640397093409---values=;29242;53159""",,,,,,intact,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,3,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397103371;1640397119613;1640397145070---values=;16204;41661""","""times=1640397103371;1640397171171;1640397195101---values=;17257;41187""",,,,,,intact,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,4,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397204913;1640397221392;1640397229260;1640397241844---values=;16479;24347;36931""","""times=1640397204913;1640397280326;1640397292318;1640397300473---values=;16124;28116;36271""",,,,,,8B,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,5,8,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397323890;1640397339339;1640397385095;1640397388208---values=;15392;61148;64261""","""times=1640397323890;1640397404148;1640397424407;1640397433766;1640397441825---values=;13013;33272;42631;50690""",,,,,,8B,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,6,13,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397458821;1640397479172;1640397485725;1640397492458;1640397504011---values=;20303;26856;33589;45142""","""times=1640397458821;1640397529870;1640397539678;1640397546341;1640397553119;1640397558959;1640397568672---values=;10169;19977;26640;33418;39258;48971""",,,,,,1B,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,7,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397581022;1640397593577;1640397597585;1640397606314---values=;12467;16475;25204""","""times=1640397581022;1640397653293;1640397656350;1640397660198;1640397667195;1640397668622;1640397676078;1640397680350;1640397688271---values=;9427;12484;16332;23329;24756;32212;36484;44404""",,,,,,2B,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,8,9,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640397707116---values=""","""times=1640397707116;1640397774373;1640397780346;1640397798207;1640397803472;1640397810259---values=;8465;14438;32299;37564;44351""",,,,,,2B,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
