Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,conditions,consent,correct_incorrect_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,I don't know,13-15,,Guitar,,,1,,,,,,,,,,,,,4.0,,,3.0,,,Occasionally,Rap,Emo,EDM,4-5 Days/Week,4.0,Biweekly,,Monthly,Biweekly,Guitar,,Monthly,,,,,,option_1,,No,,,,,,,,,,,,,,,,,,,,,At first I tried to count the seconds and keep in mind at what intervals I detected a change in tempo. Afterwards I tried to keep the tempo with my finger to be certain of a tempo shift. I feel like the first strategy was more effective.,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,1,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,,,,,,,,,Correct,1761.0,,,intact,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,2,6,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 16 seconds (every 8 measures),Every 16 seconds (every 8 measures),,,,,,,,Correct,Correct,1523.0,1184.0,,8B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,3,16,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),Every 2 seconds (every 1 measure),,,,,,,,Incorrect,Correct,1274.0,1083.0,,1B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,4,9,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),Every 4 seconds (every 2 measures),,,,,,,,Correct,Correct,658.0,1146.0,,2B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,5,12,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 4 seconds (every 2 measures),Every 16 seconds (every 8 measures),,,,,,,,Correct,Incorrect,1607.0,1850.0,,2B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,6,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 16 seconds (every 8 measures),Every 16 seconds (every 8 measures),,,,,,,,Correct,Correct,1231.0,2439.0,,8B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,7,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 16 seconds (every 8 measures),Never,,,,,,,,Incorrect,Correct,759.0,1001.0,,intact,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,4,CategorizationSeg_2,8,14,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Every 2 seconds (every 1 measure),Every 2 seconds (every 1 measure),,,,,,,,Correct,Correct,759.0,719.0,,1B,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,2,Practice_Categorization,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Never,Every 16 seconds (every 8 measures),,,,,8B,,,Incorrect,Incorrect,6223.0,6541.0,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
11,CategorizationSeg_2,1,Instructions for Categorization Seg.,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,1,46,,,,,Second,4_1B_memory_5.mp3,5,,,,correct_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,,,,1164.0,,,,,,,,,1B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,2,60,,,,,First,4_1B_memory_9.mp3,6,,,,incorrect_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,,,,1746.0,,,,,,,,,1B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,3,29,,,,,First,4_2B_memory_8.mp3,3,,,,correct_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correct,,,,809.0,,,,,,,,,2B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,4,57,,,,,First,4_1B_memory_6.mp3,6,,,,incorrect_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,,,,993.0,,,,,,,,,1B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,5,3,,,,,First,3_8B_memory_8.mp3,1,,,,correct_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correct,,,,697.0,,,,,,,,,8B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,6,14,,,,,Second,3_8B_memory_9.mp3,2,,,,incorrect_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correct,,,,1000.0,,,,,,,,,8B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,7,8,,,,,Second,4_8B_memory_7.mp3,1,,,,correct_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,,,,731.0,,,,,,,,,8B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,8,54,,,,,First,3_1B_memory_9.mp3,6,,,,incorrect_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,,,,1765.0,,,,,,,,,1B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,9,16,,,,,Second,4_8B_memory_5.mp3,2,,,,incorrect_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Correct,,,,1088.0,,,,,,,,,8B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
9,Memory3,4,Memory_3,10,48,,,,,Second,4_1B_memory_7.mp3,5,,,,correct_left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,,,,1100.0,,,,,,,,,1B,,,,,,,,,,,yes,,,2021-12-30T18:07:44.000Z,344059,group_6,380560,Memory3/Cat.2,1,2021-12-30T17:25:18.000Z,,,,not measured,,True
