Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,conditions,consent,correct_incorrect_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
13,Post-Survey,1,Post-Survey,1,1,I don't know,7-15,,Voice,,,1,,,,,,,,,,,,,5.0,,,3.0,,,Biweekly,Hip Hop,Alternative Pop,Classical,3-4 hours,,4.0,4-5 years,,3-4 hours,3 years,"Voice, Guitar",,2.0,,,,,,option_1,,Yes,,,,,,,,,,,,,,,,,,,,,"I judged whether there was a shift in tone, or whether I heard a familiar tune that was different from the rest of the piece.",,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,1,5,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643140332285;1643140332866---values=19235;19816""","""times=1643140398632;1643140401746---values=18949;22063""",,,,,,,,,,,,,,8B,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,2,13,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643140446758;1643140464001;1643140503457---values=;17207;56663""","""times=1643140446758;1643140562172;1643140562997---values=;54418;55243""",,,,,,,,,,,,,,1B,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,3,16,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643140569197;1643140611885---values=;42667""","""times=1643140569197;1643140672182;1643140672759---values=;42010;42587""",,,,,,,,,,,,,,1B,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,4,3,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643140691596---values=""","""times=1643140691596;1643140788932---values=;46659""",,,,,,,,,,,,,,intact,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,5,7,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643140799600;1643140829297;1643140839360---values=6235;35932;45995""","""times=1643140793364;1643140898993---values=;46268""",,,,,,,,,,,,,,8B,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,6,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643140912512---values=""","""times=1643140912512;1643140992079---values=;16870""",,,,,,,,,,,,,,intact,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,7,10,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643141045537;1643141048858;1643141055842;1643141060452;1643141063762;1643141081598;1643141087833;1643141092041---values=7217;10538;17522;22132;25442;43278;49513;53721""","""times=1643141038299;1643141105879;1643141109867;1643141114511;1643141122641;1643141155121---values=;4651;8639;13283;21413;53893""",,,,,,,,,,,,,,2B,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,4,OpenEndedSeg_2,8,12,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1643141164567;1643141179870;1643141182227---values=;15292;17649""","""times=1643141164567;1643141241965;1643141279305---values=;18384;55724""",,,,,,,,,,,,,,2B,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
11,OpenEndedSeg_2,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-01-25T20:10:34.000Z,361864,group_9,402333,Prediction3/Open2,1,2022-01-25T19:13:08.000Z,,,,not measured,,True
